id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong3-3-cau11,11. Suy tim trong bệnh giun móc nặng có tính chất.,"Bệnh lý thực thể của tim, có khả năng bồi hoàn.","Bệnh lý thực thể của tim, không có khả năng bồi hoàn.","Bệnh lý cơ năng của tim, có khả năng bồi hoàn.","Bệnh lý cơ năng của tim, không có khả năng bồi hoàn.",Bệnh tim bẩm sinh phát triển khi nhiễm giun.,C,"Suy tim trong bệnh giun móc là bệnh lý cơ năng do thiếu máu kéo dài, có khả năng bồi hoàn nếu điều trị kịp thời."
Chuong3-3-cau12,"12. Diệt được giun móc trong ruột là giải quyết được. -Tình trạng thiếu máu. -Tình trạng suy tim. -Tình trạng rối loạn tiêu hoá,",Đúng,Sai.,,,,A,"Diệt giun móc sẽ giải quyết được nguyên nhân gây mất máu, từ đó cải thiện tình trạng thiếu máu, suy tim và rối loạn tiêu hóa."
Chuong3-3-cau13,13. Giun móc/mỏ trưởng thành ký sinh ở.,Ở manh tràng,Ở tá tràng,Đường bạch huyết,Đường mật,Hệ tuần hoàn.,B,Giun móc/mỏ trưởng thành ký sinh chủ yếu ở tá tràng.
Chuong3-3-cau14,14. Người có thể bị nhiễm giun móc/mỏ do.,Muổi đốt,Ăn phải trứng giun.,Mút tay.,Đi chân đất.,Ăn cá gỏi.,D,Người nhiễm giun móc/mỏ chủ yếu do ấu trùng giai đoạn III xuyên qua da khi đi chân đất.
Chuong3-3-cau15,15. Thức ăn của giun móc/mỏ trong cơ thể là.,Máu,Dịch mật,Dịch bạch huyết,Sinh chất ở ruột,Protein,A,Thức ăn chính của giun móc/mỏ là máu của ký chủ.
Chuong3-3-cau16,16.Trong điều trị bệnh giun móc/mỏ có thể dùng.,DEC,Quinin,Mebendazole,Metronidazole,Piperazine,C,Mebendazole là một trong các thuốc điều trị giun móc/mỏ hiệu quả.
Chuong3-3-cau17,17. Mỗi con giun móc mỗi ngày hút một lượng máu là.,"0,2ml.","0,02ml.",2ml.,"0,002ml.","0,12ml.",A,"Giun móc (A. duodenale) hút khoảng 0,2ml máu mỗi ngày."
Chuong3-3-cau18,18. Chu kỳ của giun móc thuộc kiểu chu kỳ.,Đơn giản.,Phức tạp.,Cần có vật chủ trung gian.,Không cần giai đoạn ngoại cảnh,Giai đoạn ngoại cảnh giống chu kỳ giun đũa.,A,"Chu kỳ giun móc là chu kỳ trực tiếp (đơn giản), không cần vật chủ trung gian."
Chuong3-3-cau19,19. Nêu thứ tự cơ quan nội tạng của người mà ấu trùng giun móc đi qua.,"Gan, Tim, Phổi.","Tim, Gan, Phổi, Hầu.","Ruột, Tim, Phổi.","Gan, Tim, Phổi, Hầu.","Tim, Phổi, Ruột.",E,Ấu trùng giun móc chu du qua Tim và Phổi trước khi về Ruột non.
Chuong3-3-cau20,20. Thiếu máu ở bệnh nhân nhiễm giun móc chủ yếu là do.,Giun móc hút máu.,Giun móc làm chảy máu do chất chống đông.,Do độc tố giun móc,Do giun lấy dưỡng chất.,Do ức chế tuỷ xương,B,"Giun móc tiết chất chống đông làm máu rỉ liên tục, dẫn đến thiếu máu mạn tính."
Chuong3-3-cau21,21. Khả năng gây tiêu hao máu ký chủ của mỗi giun trong ngày.,"Giun móc. 0,2ml máu/con/ngày nhiều hơn giun mỏ. 0,02ml máu/con/ngày",Giun móc ít hơn giun mỏ,Giun móc bằng như giun mỏ,Chỉ có giun móc gây tiêu hao máu,Chỉ có giun mỏ gây tiêu hao máu,A,"Giun móc (A. duodenale) gây mất máu khoảng 0,2ml/con/ngày, nhiều hơn giun mỏ (0,02ml/con/ngày)."
Chuong3-3-cau22,22. Nghề nghiệp có nguy cơ nhiễm giun móc cao hơn.,Công nhân hầm mỏ và nông dân trồng lúa ruộng khô.,Ngư dân đánh cá.,Nông dân trồng lúa nước.,Người làm nghề trông hoa cây cảnh.,Bác sĩ thú y.,C,Nông dân trồng lúa nước có nguy cơ cao do thường xuyên tiếp xúc với đất ẩm.
Chuong3-3-cau23,23. Tuổi thọ của giun móc cao hơn tuổi thọ giun đũa,Đúng,Sai.,,,,A,Tuổi thọ của giun móc (vài năm) cao hơn giun đũa (1-2 năm).
Chuong3-3-cau24,"24. Giun móc ở người có thể gây xuất huyết cấp tính nặng , gây tử vong.",Đúng,Sai.,,,,A,Nhiễm giun móc nặng và kéo dài có thể gây thiếu máu nghiêm trọng dẫn đến tử vong.
Chuong3-3-cau25,25. Trứng giun móc có thể nở ra ấu trùngở tá tràng rồi phát triển thành con trưởng thành.,Đúng,Sai.,,,,B,"Trứng giun móc nở thành ấu trùng ở ngoại cảnh (đất), không phải trong tá tràng."
Chuong3-3-cau26,26. Ấu trùng giun móc ở ngoại cảnh thường có khuynh hướng đi lên cao,Đúng,Sai.,,,,A,Ấu trùng giun móc giai đoạn gây nhiễm có hướng động lên cao và tới nơi có độ ẩm cao để tìm vật chủ.
Chuong3-3-cau27,27. Ấu trùng giun móc ở ngoại cảnh có thể bị tiêu diệt bằng nước muối,Đúng,Sai.,,,,A,Nước muối bão hòa có thể tiêu diệt ấu trùng giun móc do áp suất thẩm thấu.
Chuong3-3-cau28,28. Giun móc có thể gây hội chứng Loeffler,Đúng,Sai.,,,,A,Giun móc có thể gây hội chứng Loeffler do ấu trùng chu du qua phổi.
Chuong3-3-cau29,29. Ấu trùng giun móc có thể sống và phát triển qua nhiều thế hệ ở ngoại cảnh khi chưa gặp ký chủ thích hợp.,Đúng,Sai.,,,,B,Giun móc không có khả năng sống và phát triển qua nhiều thế hệ ở ngoại cảnh (đặc trưng của giun lươn).
Chuong3-3-cau30,30. Ấu trùng giun móc và giun mỏ đều có thể xâm nhập vào người qua đường tiêu hoá,Đúng,Sai,,,,B,"Giun mỏ (N. americanus) thường chỉ xâm nhập qua da, không phải cả hai đều qua đường tiêu hóa."
Chuong3-3-cau211,211. Bệnh phẩm xét nghiệm xác định giun móc,Phân,Máu,Đàm,Cả B và C,,A,Bệnh phẩm chính để chẩn đoán xác định giun móc là Phân (tìm trứng).
Chuong3-3-cau212,212. Khả năng tiêu hao máu ký chủ của mỗi giun móc trong một ngày,Ancylostoma duodenale nhiều hơn Necator americanus,A.duodenale ít hơn N.americanus,A.duodenale bằng  N.americanus,Cả A.duodenale và N.americanus không gây tiêu hao máu,,A,Giun móc (A. duodenale) hút máu nhiều hơn giun mỏ (N. americanus).
Chuong3-3-cau213,213. Người là ký chủ vĩnh viễn của,A.duodenale và N. americanus,A.caninum và N. americanus,A.braziliense,"Tất cả A, B và C",,A,Ancylostoma duodenale và Necator americanus là giun móc/mỏ ký sinh ở người.
Chuong3-3-cau214,214. Điều kiện thuận lợi để ấu trùng giun móc tồn tại và phát triển ở ngoại cảnh,"Môi trường nước như ao, hồ","Đất xốp, cát, nhiệt độ cao, ẩm","Nhiệt độ 22- 330C, đất có đủ oxy",Vùng nhiều mưa,,C,"Ấu trùng phát triển tốt trong đất ẩm, có đủ oxy ở nhiệt độ 22-33 độ C."
Chuong3-3-cau215,215. Yếu tố dịch tễ thuận lợi cho sự tăng tỉ lệ nhiễm giun móc,Vùng đất xốp,Thói quen đi chân đất của người dân,Sự phóng uế bừa bãi,Cả A và C,,C,Sự phóng uế bừa bãi là nguồn cung cấp trứng giun móc ra ngoại cảnh.
Chuong3-3-cau216,"216. Ở Việt Nam, vùng có tỉ lệ nhiễm giun móc cao thường là",Nơi có thói quen sử dụng cầu tiêu ao cá,"Nông trường mía, cao su","Các thành phố, đô thị",Cư dân sống dọc bờ sông,,B,"Tỷ lệ nhiễm giun móc cao ở nông trường mía, cao su do điều kiện lao động và đất ẩm."
Chuong3-3-cau217,217. Nghề nghiệp có nguy cơ nhiễm giun móc cao hơn,Công nhân cạo mũ cao su,Giáo viên,Công nhân,Đánh bắt cá,,A,"Công nhân cao su làm việc trong môi trường đất ẩm, có nguy cơ nhiễm giun móc cao."
Chuong3-3-cau218,218. Ấu trùng thực quản phình của giun móc được hình thành,Ở ruột non từ trứng do giun cái đẻ trong ruột,Do giun cái đẻ ra ấu trùng ở ruột non,Từ trứng giun móc ở ngoại cảnh,Cả B và C,,C,Ấu trùng thực quản phình (ấu trùng I) được hình thành từ trứng giun móc ở ngoại cảnh.
Chuong3-3-cau219,219. Tác hại nghiêm trọng của bệnh giun móc nặng và kéo dài,Rối loạn tiêu hóa,Hội chứng thiếu máu,Suy tim,"Tất cả A, B và C",,D,"Tác hại nghiêm trọng bao gồm rối loạn tiêu hóa, thiếu máu và suy tim."
Chuong3-3-cau220,220. Biện pháp phòng ngừa nhiễm giun móc,Không đi chân đất,Hạn chế tiếp xúc với đất bằng da trần,Quản lý và xử lý phân đúng vệ sinh,"Tất cả A, B và C",,D,Cần thực hiện tất cả các biện pháp để phòng ngừa nhiễm giun móc.
Chuong3-3-cau221,221. Loại KST có thể tự tăng sinh trong cơ thể người.,Giun tóc,Giun móc,Giun kim,Giun chỉ,,[Không tìm thấy],Giun lươn (Strongyloides stercoralis) là loại giun có khả năng tự tăng sinh trong cơ thể người.
Chuong3-3-cau222,222. Hội chứng ấu trùng chu du ở da của người do loại ký sinh trùng nào sau đây gây ra.,Giun móc chó mèo,Giun lươn chó mèo,Giun móc người,Giun đũa người,,A,"Ấu trùng giun móc chó mèo (A. caninum, A. braziliense) gây hội chứng ấu trùng chu du ở da."
Chuong3-3-cau223,"223. Trong hội chứng ấu trùng chu du ở da do giun móc chó mèo, người bị nhiễm bệnh do.",Ăn rau sống có chứa trứng giun,Uống nước chưa đun sôi có ấu trùng giun,Tiếp xúc với đất nhiễm phân chó mèo có chứa trứng,Ăn phải bọ chét ký sinh trên chó mèo,,C,Nhiễm bệnh do tiếp xúc với đất nhiễm phân chó mèo chứa ấu trùng gây nhiễm.
Chuong3-3-cau224,224. Về mặt dịch tể học bệnh do ấu trùng giun móc chó mèo thường gặp ở.,Châu Âu,Châu Úc,Châu Á,"Châu Phi, Đông Nam Á",,[Không tìm thấy],[Không tìm thấy]
Chuong3-3-cau225,225. Hội chứng ấu trùng chu du ở da do giun móc chó mèo hay gặp ở đối tượng nào sau đây.,Người làm nghề bác sĩ thú y,"Người tiếp xúc nhiều với đất. nông dân, trẻ nhỏ chơi với đất cát…",Công nhân lâm trường,Người làm công tác xét nghiệm tại phòng xét nghiệm ký sinh trùng,,B,"Những người tiếp xúc nhiều với đất bị ô nhiễm phân chó mèo, như nông dân, trẻ nhỏ, có nguy cơ cao."
Chuong3-3-cau226,226. Đặc điểm triệu chứng bệnh do ấu trùng giun móc chó mèo.,"Chổ xâm nhập có vết sẩn đỏ ngứa, vài giờ hoặc 2 – 3 ngày sau xuất hiện đường gồ ngoằn ngoèo, ngứa, bệnh tự lành sau vài tuần đến vài tháng","Chổ xâm nhập có nốt ngứa, sau đó nổi u cục đỏ, lở loét chảy nhiều mủ, bệnh tự lành sau 2 tuần","Chổ xâm nhập chảy máu, sau đó thành u cục loét, bệnh tự lành","Chổ xâm nhập không có thương tổn gì rõ rệt chỉ hơi ngứa, sau đó tự hết.",,A,"Triệu chứng đặc trưng là sẩn đỏ ngứa, sau đó là đường gồ ngoằn ngoèo do ấu trùng di chuyển dưới da."
Chuong3-3-cau227,227. Hiện tượng viêm da do ấu trùng giun móc chó mèo thường gặp nhất ở.,Bàn chân,Đầu gối,Mông,Bộ phận cơ thể thường xuyên tiếp xúc với đất.,,D,"Thường gặp ở bộ phận cơ thể thường xuyên tiếp xúc với đất (như bàn chân, mông)."
Chuong3-3-cau228,228. Chẩn đoán bệnh ấu trùng giun móc chó mèo chủ yếu dựa vào.,Lâm sàng và xét nghiệm phân,Dịch tễ có tiếp xúc với đất cát ô nhiễm phân chó mèo,"Hình ảnh lâm sàng, dịch tễ và đáp ứng tốt với điều trị để củng cố chẩn đoán","Lâm sàng, dịch tễ và xét nghiệm bạch cầu toan tính tăng",,C,"Chẩn đoán chủ yếu dựa vào lâm sàng, dịch tễ và đáp ứng điều trị đặc hiệu."
Chuong3-3-cau229,229. Bệnh phẩm xét nghiệm xác định giun móc.,Phân,Máu,X quang phổi,Nước tiểu,,A,Bệnh phẩm chính để chẩn đoán xác định giun móc là phân.
Chuong3-3-cau230,230. Khả năng gây tiêu hao máu ký chủ của mỗi giun trong một ngày.,Giun móc nhiều hơn giun mỏ,Giun móc ít hơn giun mỏ,Giun móc bằng như giun mỏ,"Giun móc. 0,02ml/con/ngày",,A,Giun móc hút máu nhiều hơn giun mỏ.
Chuong3-3-cau231,231. Người là ký chủ vĩnh viễn của.,Ancylostoma duodenale và Necator americanus,Ancylostoma braziliense và Necator americanus,Ancylostoma caninum và Necator americanus,Ancylostoma braziliense và A. duodenale,,A,A. duodenale và N. americanus là ký sinh trùng giun móc/mỏ ở người.
Chuong3-3-cau232,232. Hội chứng ấu trùng chu du ở da do giun móc chó mèo hay gặp ở đối tượng nào sau đây.,Trẻ nhỏ hay chơi nơi đất cát ẩm,Người làm nghề bác sĩ thú y,Công nhân lâm trường,Người làm công tác xét nghiệm tại phòng xét nghiệm ký sinh trùng,"Người tiếp xúc nhiều với đất. nông dân, trẻ nhỏ chơi với đất cát…",E,Bệnh thường gặp ở những người tiếp xúc nhiều với đất cát ô nhiễm.
Chuong3-3-cau233,233. Đặc điểm triệu chứng bệnh do ấu trùng giun móc chó mèo.,"Chỗ xâm nhập có vết sẩn đỏ ngứa, vài giờ hoặc 2 – 3 ngày sau xuất hiện đường gồ ngoằn ngoèo, ngứa, bệnh tự lành sau vài tuần đến vài tháng.","Chỗ xâm nhập có nốt ngứa, sau đó nổi u cục đỏ, lở loét chảy nhiều mủ, bệnh tự lành sau 2 tuần.","Chỗ xâm nhập chảy máu, sau đó thành u cục loét, bệnh tự lành.","Chỗ xâm nhập không có thương tổn gì rõ rệt chỉ hơi ngứa, sau đó tự hết.","Chỗ xâm nhập có nốt sần ngứa, sau 2 – 3 ngày xuất hiện đường gồ ngoằn ngoèo, ngứa. Bệnh không lành nếu không điều trị đặc hiệu.",A,Triệu chứng đặc trưng là đường gồ ngoằn ngoèo và bệnh thường tự lành sau vài tuần/tháng.
Chuong3-3-cau234,234. Hiện tượng viêm da do ấu trùng giun móc chó mèo thường gặp nhất ở.,Bàn tay,Bàn chân,Đầu gối,Mông,Bộ phận cơ thể thường xuyên tiếp xúc với đất.,E,Thường gặp ở bộ phận cơ thể thường xuyên tiếp xúc với đất bị ô nhiễm.
Chuong3-3-cau235,235. Chẩn đoán bệnh ấu trùng giun móc chó mèo chủ yếu dựa vào.,Lâm sàng và xét nghiệm phân,Dịch tễ có tiếp xúc với đất cát ô nhiễm phân chó mèo,"Hình ảnh lâm sàng, dịch tễ và đáp ứng tốt với điều trị để củng cố chẩn đoán.","Lâm sàng, dịch tễ và xét nghiệm bạch cầu toan tính tăng","Lâm sàng, dịch tễ và xét nghiệm phân tìm trứng.",C,"Chẩn đoán dựa vào hình ảnh lâm sàng, dịch tễ học và đáp ứng điều trị đặc hiệu."
Chuong3-3-cau236,236. Thuốc điều trị bệnh ấu trùng giun móc chó mèo.,Metronidazole,Mebendazole,Thiabendazole,Hexachloro cyclohexan (HCH),Thuốc kháng histamin tại chỗ.,C,Thiabendazole là thuốc điều trị đặc hiệu cho bệnh ấu trùng giun móc chó mèo.
Chuong3-3-cau237,237. Sự xâm nhập của Ancylostoma duodenale vào cơ thể người có thể qua đường.,Tiêu hóa,Hô hấp,Côn trùng đốt,Sinh dục,,A,Ancylostoma duodenale có thể xâm nhập qua đường tiêu hóa (hoặc da).
Chuong3-3-cau238,238. Ấu trùng giun có giai đoạn tiềm ẩn trong cơ là.,Trichuris trichỉua,Enterobius vermicularis,Ancylostoma duodenale,Necator americanus,,C,Ấu trùng Ancylostoma duodenale có giai đoạn tiềm ẩn (hypobiosis) trong mô cơ.
Chuong3-3-cau239,239. Ở Việt Nam Necator americanus chiếm tỷ lệ là.,95%,30%,15%,25%,,A,Necator americanus chiếm tỷ lệ cao nhất (khoảng 95%) trong nhiễm giun móc/mỏ ở Việt Nam.
Chuong3-3-cau240,240. Ở Tây Nguyên tỷ lệ nhiễm giun móc/mỏ là.,95%,35%,20%,47%,,[Không tìm thấy],[Không tìm thấy]
Chuong3-3-cau241,241. Định loài giun móc/mỏ chủ yếu dựa vào.,Bộ phận miệng,Trứng,Chiều dài của thân,Tử cung,,A,Định loài giun móc/mỏ chủ yếu dựa vào bộ phận miệng (răng hoặc phiến cắt).
Chuong3-3-cau242,242. Khi điều trị nhiễm giun móc/mỏ bằng Albendazzol cần.,Nghỉ ngơi tuyệt đối,Nhịn thật đói,Uống thuốc xổ sau 4 giờ,Kiêng rượu bia,,[Không tìm thấy],Albendazole không cần uống kèm thuốc xổ hay nhịn đói (nên uống sau ăn).
Chuong3-3-cau243,243. Cơ chế tác dụng của nhóm Benzimidazol là.,Ức chế sự hấp thu Glucose của giun,Tiêu hủy giun,Liệt cơ giun,Thoái hóa dần tế bào giun,,A,Nhóm Benzimidazol ức chế sự hấp thu Glucose của giun.
Chuong3-3-cau244,244. Nhiễm giun móc/mỏ thường phổ biến ở.,Tiêu hóa,Hô hấp,Sinh dục,Hệ bạch huyết,,A,Giun móc/mỏ ký sinh chủ yếu ở đường tiêu hóa (tá tràng).
Chuong3-3-cau245,245. Giun móc/mỏ trưởng thành ký sinh chủ yếu ở.,Dạ dày,Ruột già,Tá tràng,Ruột non,,C,Giun móc/mỏ trưởng thành ký sinh chủ yếu ở tá tràng.
Chuong3-3-cau246,246. Loại thuốc được dùng để điều trị bệnh giun móc/mỏ là.,Metronidazol,Albendazol,Quinin,DEC,,B,Albendazol là thuốc được dùng để điều trị bệnh giun móc/mỏ.
Chuong3-3-cau247,247. Ấu trùng giai đoạn III của giun móc/mỏ có các hướng động sau đây trừ.,Hướng lên cao,Hướng tới nơi có độ ẩm cao,Hướng tới tổ chức vật chủ,Hướng tới tổ chức vật chủ thích hợp,,[Không tìm thấy],Ấu trùng L3 có hướng động lên cao và tới nơi ẩm ướt để tiếp xúc với vật chủ.
Chuong3-3-cau248,248. Giun móc/mỏ có thể gây ra triệu chứng lâm sàng sau.,Hội chứng lỵ,Tiêu chảy kéo dài,Hội chứng thiếu máu,Phù chân voi,,C,Triệu chứng lâm sàng quan trọng nhất là hội chứng thiếu máu do mất máu mạn tính.
Chuong3-3-cau249,249. Đặc điểm để chẩn đoán phân biệt 2 loại giun móc/mỏ trưởng thành ký sinh ở người là.,Trứng trong phân,Ấu trùng trong phân,Bộ phận miệng,Bộ phận đuôi,,C,Phân biệt giun móc và giun mỏ trưởng thành dựa vào bộ phận miệng.
Chuong3-3-cau250,250. Đặc điểm sau đây không thấy ở giun móc/mỏ.,Gây thiếu máu,Nhiễm bệnh do ấu trùng xuyên qua da,Chẩn đoán bằng xét nghiệm phân hoặc cấy phân,Chu kỳ cần phải có vật chủ trung gian,,D,"Chu kỳ giun móc/mỏ là chu kỳ trực tiếp, không cần vật chủ trung gian."
Chuong3-3-cau251,251. Biện pháp quan trọng nhất để phòng chống bệnh giun móc/mỏ.,Phát hiện và điều trị cho người bệnh,Không dùng phân tươi để bón ruộng,Không phóng uế bừa bãi,Tránh đi chân đất hoặc tiếp xúc với đất,,D,Tránh đi chân đất hoặc tiếp xúc da trần với đất là biện pháp quan trọng nhất để ngăn ấu trùng xâm nhập.
Chuong3-3-cau252,252. Giun móc/mỏ có chu kỳ.,Phức tạp,Đơn giản,Có môi trường nước,Có vật chủ trung gian,,B,Chu kỳ giun móc/mỏ là chu kỳ đơn giản (trực tiếp).
Chuong3-3-cau253,253. Thời gian hoàn thành chu kỳ của giun móc/mỏ ở người.,15 ngày,30 ngày,45 ngày,60 ngày,,C,Thời gian hoàn thành chu kỳ của giun móc/mỏ là khoảng 45 ngày (35-49 ngày).
Chuong3-3-cau254,254. Thời gian giun móc/mỏ có thể sống trong cơ thể người là.,1-2 tháng,3-6 tháng,1 năm,5 – 6 năm,,D,Giun móc/mỏ có thể sống trong cơ thể người tới 5-6 năm hoặc lâu hơn.
Chuong3-3-cau255,255. Bệnh phẩm xét nghiệm xác định giun móc/mỏ là.,Phân,Máu,Đàm,Dịch tá tràng,,A,Bệnh phẩm chính để chẩn đoán xác định giun móc/mỏ là phân.
Chuong3-3-cau256,256. Khả năng gây tiêu hao máu vật chủ của mỗi giun trong một ngày.,A. duodenale ít hơn Necator americanus,Ancylostoma duodenale nhiều hơn Necator americanus,A. duodenale bằng Necator americanus,Necator americanus nhiều hơn A. duodenale,,B,Giun móc (A. duodenale) hút máu nhiều hơn giun mỏ (N. americanus).
Chuong3-3-cau257,257. Người là ký chủ vĩnh viễn của.,Ancylostoma duodenale và Necator americanus,Ancylostoma Braziliense và Necator americanus,Ancylostoma caninum và Necator americanus,Ancylostoma Braziliense và A. duodenale,,A,A. duodenale và N. americanus là giun móc/mỏ ký sinh ở người.
Chuong3-3-cau258,258. Điều kiện thuận lợi để ấu trùng giun móc/mỏ tồn tại và phát triển ở ngoại cảnh.,"Môi trường nước như ao, hồ","Đất xốp, cát, bóng râm mát, ẩm","Môi trường nước, nhiệt độ từ 25°C đến 30°C",Vùng nhiều mưa,,B,"Ấu trùng giun móc cần đất xốp, cát, bóng râm mát và ẩm để tồn tại và phát triển."
Chuong3-3-cau259,259. Tác hại nghiêm trọng của bệnh giun móc/mỏ nặng và kéo dài.,"Thiếu máu nhược sắc, giảm protein","Thiếu máu ưu sắc, giảm protein",Viêm tá tràng đưa đến loét tá tràng,Viêm tá tràng đưa đến ung thư tá tràng,,A,Tác hại nghiêm trọng là thiếu máu nhược sắc và giảm protein máu.
Chuong3-3-cau260,260. Suy tim trong bệnh giun móc/mỏ nặng có tính chất.,"Bệnh lý thực thể của tim, có khả năng bồi hoàn","Bệnh lý thực thể của tim, không có khả năng bồi hoàn","Bệnh lý cơ năng của tim, có khả năng bồi hoàn","Bệnh lý cơ năng của tim, không có khả năng bồi hoàn",,C,"Suy tim trong bệnh giun móc là bệnh lý cơ năng, có khả năng bồi hoàn."
Chuong3-3-cau261,261. Thời gian giun móc/mỏ có thể sống trong cơ thể người là.,1-2 tháng,3-6 tháng,1 năm,5-6 năm,,D,Giun móc/mỏ có thể sống trong cơ thể người khoảng 5-6 năm.
Chuong3-3-cau262,262. Người có thể bị nhiễm giun móc/mỏ do.,Muỗi đốt,Ăn phải trứng giun,Mút tay,Đi chân đất,,D,Người nhiễm giun móc/mỏ chủ yếu do ấu trùng xuyên qua da khi đi chân đất.
Chuong3-3-cau263,263. Thức ăn của giun móc/mỏ trong cơ thể là.,Máu,Dịch mật,Dịch bạch huyết,Sinh chất ở ruột,,A,Thức ăn chính của giun móc/mỏ là máu.
Chuong3-3-cau264,264. Nguồn thức ăn chính của giun móc/mỏ trưởng thành là.,Máu,Dịch ruột,Niêm dịch tá tràng,Mật,,A,Nguồn thức ăn chính của giun móc/mỏ là máu.
