id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong2-1-cau13,13. Người bị nhiễm Entamoeba histolytica .,Luôn luôn có biểu hiện lâm sàng rõ rệt.,Không bị bệnh gì cả.,Là người mang mầm bệnh và phát bệnh khi có điều kiện thuận lợi .,Chỉ là người mang mầm bệnh.,luôn gây ap xe gan amip.,C,"Nhiều người mang mầm bệnh (thể minuta) không có triệu chứng, chỉ phát bệnh khi cơ thể giảm sức đề kháng."
Chuong2-1-cau14,14. Thể hoạt động của Entamoeba histolytica.,Không gây bệnh.,"Gây bệnh cấp, có khả năng trở thành mạn tính khi có biến chứng.",Luôn luôn có biến chứng.,Gây bệnh hàng loạt.,thường gây dịch chủ yếu ở trẻ em.,B,"Thể hoạt động xâm lấn gây bệnh cấp tính, có thể dẫn đến mạn tính hoặc abces."
Chuong2-1-cau15,15. Thể hoạt động của Entamoeba histolytica.,Chỉ sống vô hại trong lòng ruột.,Gây vết loét ở ruột già.,Gây vết loét ở tá tràng.,Sống ở ruột non.,Sống ở dạ dày.,B,"Thể hoạt động xâm lấn thành ruột già, gây vết loét hình bình miệng."
Chuong2-1-cau16,16. Bào nang của Entamoeba histolytica nhiễm vào người .,Qua đường tiêu hoá.,Qua đường hô hấp.,Qua đường da.,Do ruồi là vecteur truyền bệnh cho người,Do ruồi là vật chủ trung gian truyền bệnh.,A,Bệnh lỵ amip lây truyền do nuốt phải bào nang qua đường ăn uống/tiêu hóa.
Chuong2-1-cau17,17. Khi xét nghiệm tìm thể hoạt động của Entamoeba histolytica .,Phải cấy bệnh phẩm.,Quan sát trực tiếp là đủ.,Phải tiêm truyền qua thú.,Làm phương pháp tập trung.,Phải làm phương pháp Kato - Katz.,B,"Thể hoạt động dễ chết, cần soi tươi trực tiếp ngay lập tức."
Chuong2-1-cau18,18. Entamoeba histolytica là đơn bào có khả năng.,"Gây bệnh có thể lan rộng, nhiều người mắc cùng lúc.",Bệnh bao giờ cũng có sốt.,bệnh phát lẻ tẻ không thành dịch.,Biến chứng không có.,Gây bệnh thường gặp nhất là trẻ em.,C,"Bệnh amip thường không xảy ra thành dịch, mà diễn ra lẻ tẻ."
Chuong2-1-cau19,"19. Đối với Entamoeba histolytica, khi xét nghiệm bệnh phẩm cần phải.",Không để lâu quá 2 giờ.,Cấy bệnh phẩm vào môi trường cấy.,Dùng nước muối bão hoà để tập trung KST.,Làm kỹ thuật Bauermann.,Bảo quản lạnh nếu chưa làm kịp.,A,Xét nghiệm tìm thể hoạt động cần thực hiện trong vòng 2 giờ hoặc dùng dung dịch cố định phân.
Chuong2-1-cau20,20. Trong các phương pháp chẩn đoán abces gan do amip sau đây. Phương pháp nào cho kết quả chính xác nhất.,Chụp X-Quang.,Công thức bạch cầu.,Chụp hình gan lấp lánh.,Chọc hút mủ dưới siêu âm.,Xét nghiệm phân tìm kén amip.,D,Chọc hút mủ dưới siêu âm (kết hợp xét nghiệm mủ) là phương pháp chẩn đoán xác định abces gan amip.
Chuong2-1-cau21,21. Yếu tố nào sau đây không phải là đặc điểm của amip.,Động vật đơn bào,Di chuyển bằng chân giả,Di chuyển bằng roi,Dinh dưỡng bằng cách nuốt thức ăn,Di chuyển bằng lông.,C,"Amip (Trùng chân giả) di chuyển bằng chân giả, không phải bằng roi hay lông."
Chuong2-1-cau22,22. Loài nào sau đây không phải là amip sống ở ruột,E. histolytica,E. coli,E. gingivalis,E. harmani,Endolimax nana,C,"Entamoeba gingivalis ký sinh trong khoang miệng, không phải ruột."
Chuong2-1-cau23,23. Loại đơn bào nào sau đây không phải là amip.,E. histolytica,E. harmani,Endolimax nana,Trichomonas hominis,Dientamoeba,D,Trichomonas hominis thuộc lớp Trùng roi (Mastigophora).
Chuong2-1-cau24,24. Thể nào sau đây của E. histolytica gây lỵ amip.,Thể hoạt động bé,Thể hoạt động lớn,Thể bào nang,Thể hoạt động chưa ăn hồng câù.,Thể hoạt động ăn hồng câù,E,"Thể hoạt động ăn hồng cầu (thể histolytica) là thể xâm lấn, gây bệnh lỵ amip."
Chuong2-1-cau25,25. E. histolytica phát triển theo,Chu trình trực tiếp,Chu trình gián tiếp,Chu trình tự nhiên,Chu trình tự do trong đất,Tuỳ theo điều kiện môi trường mà có chu trình thích hợp.,A,E. histolytica có chu trình trực tiếp.
Chuong2-1-cau26,26. Trong miệng có thể tìm thấy.,E. coli,E. histolytica,E. gingivalis,Trichomonas intertinalis,E.harmani,C,Entamoeba gingivalis ký sinh trong khoang miệng.
Chuong2-1-cau27,27. Biến chứng thường gặp nhất của abces gan amip là.,Lỵ amip,Viêm đại tràng mạng do amip,Abces não do amip,Apxe màng phổi,Xơ gan,D,Abces gan có thể dẫn đến abces màng phổi do vỡ xuyên qua cơ hoành.
Chuong2-1-cau28,28. Tính chất phân của lỵ amip là.,"Phân lỏng, màu nước rữa thịt","Phân nhầy máu, mủ",Số lần đi cầu 20-40 lần trong ngày,Số lần đi cầu 5-15 lần trong ngày,Tuỳ theo cơ địa của bệnh nhân,B,"Cơn lỵ amip điển hình là đau quặn bụng, mót rặn, và phân nhầy máu, mủ."
Chuong2-1-cau29,29. Triệu chứng nào sau đây không phải của lỵ amip,Bệnh khởi phát lẻ tẻ,Tiến triển cấp tính,Thường không gây sốt,Biến chứng dễ xãy ra,Soi phân thấy thể amip hoạt động ăn hồng cầu,C,"Lỵ amip cấp tính thường diễn biến âm thầm, lặng lẽ và thường không sốt."
Chuong2-1-cau30,30. Triệu chứng nào sau đây là của lỵ amip,Thường mắc phải hàng loạt,Diễn tiến cấp tính,Có hội chứng nhiễm trùng nặng,"Phân nhầy, máu mủ",Cấy phân để chẩn đoán,D,"Lỵ amip cấp tính thường biểu hiện bằng Phân nhầy, máu mủ."
Chuong2-1-cau31,31. Bệnh amip nếu có sốt thì nên nghĩ đến,Hội chứng lỵ amip,Thể bệnh bán cấp,Thể ác tính,Abces gan amip,U amip,D,Sốt cao thường là biểu hiện của biến chứng abces gan amip.
Chuong2-1-cau32,32. Vị trí apxe gan thường gặp là,Thuỳ trái gan,Thuỳ phải mặt trước,Thuỳ phải mặt sau,Thuỳ phải sát cơ hoành,Thuỳ trái mặt sau.,D,Vị trí áp-xe gan thường gặp là thuỳ phải sát cơ hoành.
Chuong2-1-cau33,33. Bệnh nhân áp-xe gan amip thường có đặc điểm nào sau đây?,Không có biểu hiện lâm sàng rõ ràng trước đó,Có tiền sử sốt rét tái phát nhiều lần,Có tiền sử hội chứng lỵ amip điển hình,Chỉ xuất hiện triệu chứng khi gan to rõ rệt,,C,"Áp-xe gan là biến chứng của lỵ amip ruột, bệnh nhân thường có tiền sử hội chứng lỵ amip điển hình."
Chuong2-1-cau34,34. Đối với bệnh lỵ amip thuốc thường dùng hiện nay để diêtj thể hoạt động là,Mebendazole,Metronidazole,Emetin,Yomesan,Humatin,B,Metronidazole (Flagyl) là thuốc tác dụng trực tiếp trong lòng đại tràng diệt thể amip hoạt động.
Chuong2-1-cau35,"35. Để chẩn đoán bệnh nhân bị lỵ amip, khi xét nghiệm phân tìm thấy",Thể hoạt động ăn hồng cầu,Thể hoạt động bé chưa ăn hồng cầu,Thể bào nang,Thể bào nang nhưng có rối loạn tiêu hoá.,Thể bào nang với số lượng lớn.,A,Chẩn đoán lỵ amip cấp tính dựa vào việc tìm thấy thể hoạt động ăn hồng cầu.
Chuong2-1-cau36,36. Triệu chứng nào sau đây là đặc trưng của 1 bệnh lỵ amip,Đau toàn ổ bụng,"Đau quặn dọc khung đại tràng, kèm theo đi cầumót rặn nhiều lần, trên 30 lần trong ngày",Phân nhầy máu,"Bệnh nhân sốt cao, mất nước",Bệnh khởi phát thành dịch,C,Triệu chứng điển hình của lỵ amip là Phân nhầy máu.
Chuong2-1-cau45,45. Entamoeba histolytica là một nguyên sinh động vật thuộc lớp,Trùng chân giả,Trùng roi đường máu,Trùng roi đường ruột,Trùng long,,A,Entamoeba histolytica là đơn bào thuộc lớp Trùng chân giả (Rhizopoda).
Chuong2-1-cau46,46. Amip là tên gọi chung của,Lớp trùng chân giả,Entamoeba histolytica,Entamoeba histolytica và Entamoeba histolytica,Nguyên sinh động vật,,A,Amip là tên gọi chung của lớp Trùng chân giả.
Chuong2-1-cau47,47. Các Amip không gây bệnh cũng cần được quan tâm vì,Chúng có hình dạng giống như Amip gây bệnh,Chúng sẽ tác động phối hợp với Amip gây bệnh khi có điều kiện thuận lợi,Chúng nói lên tình hình môi sinh bị ô nhiễm,Cả A và C,,D,Amip không gây bệnh có hình dạng giống amip gây bệnh và nói lên tình hình môi sinh bị ô nhiễm.
Chuong2-1-cau48,48. Về hình thể Entamoeba histolytica ở dạng,"Thể tư dưỡng, hoạt động và thể bào nang",Thể tư dưỡng không hoạt động,Thể bào nang không hoạt động,Cả B và C,,A,E. histolytica tồn tại ở hai dạng chính là thể hoạt động (tư dưỡng) và bào nang.
Chuong2-1-cau49,"49. Nhân thể giữa nhân, tế bào chất mịn, đôi khi thấy được hồng cầu là hình ảnh đặc sắc của",Entamoeba coli,Entamoeba histolytica,Entamoeba gingivalis,Iodamoeba butschii,,B,Khả năng ăn hồng cầu là đặc điểm của thể hoạt động Entamoeba histolytica.
Chuong2-1-cau50,50. Người ta bị mắc bệnh Entamoeba histolytica vì nuốt phải,Thể hoạt động,Thể hoạt động và bào nang,Thể bào nang,Thể hoạt động phối hợp với vi trùng,,C,Người bị nhiễm E. histolytica do nuốt phải bào nang.
Chuong2-1-cau51,"51. Entamoeba histolytica ở thể tư dưỡng, hoạt động tồn tại dưới dạng",Hoạt động ăn hồng cầu (kiểu histolytica),Hoạt động không ăn hồng cầu (minuta hay tiểu thể),Hoạt động ăn bạch cầu,Cả A và B,,D,Thể hoạt động của E. histolytica có thể là minuta (không ăn HC) hoặc histolytica (ăn HC).
Chuong2-1-cau52,52. Thể hoạt động của Entamoeba histolytica dễ chết khi,Sống trong long ruột,Ra khỏi ký chủ hay ra môi trường nuôi cấy,Ăn hồng cầu,"Tất cà A, B và C",,B,Thể hoạt động rất nhạy cảm và dễ bị hủy hoại ngoài môi trường cơ thể.
Chuong2-1-cau53,53. Người nào chứa bào nang Entamoeba histolytica là người,Đang bị mắc bệnh,Không mắc bệnh,Sẽ mắc bệnh khi KST gặp điều kiện thuận lợi,Sẽ mắc bệnh khi số lượng bào nang có rất nhiều,,B,Người chứa bào nang thường là người lành mang mầm bệnh (thể minuta) không có biểu hiện bệnh lý.
Chuong2-1-cau54,"54. Trong cơ thể người, Amip vừa có chu trình gây bệnh, vừa có chu trình không gây bệnh là",Entamoeba histolytica,Entamoeba coli,Entamoeba gingivalis,Iodamoeba butschii,,A,Entamoeba histolytica có chu trình kép (sinh bệnh và không sinh bệnh).
Chuong2-1-cau55,55. Chu trình phát triển của Entamoeba histolytica theo kiểu,Chu trình gây bệnh,Chu trình không gây bệnh,Chu trình gây bệnh và không gây bệnh,"Tất cả A, B và C sai",,C,Chu trình của E. histolytica có cả giai đoạn gây bệnh (histolytica) và không gây bệnh (minuta).
Chuong2-1-cau56,56. Cơn lỵ điển hình là,"Đau bụng, tiêu nhiều lần trong ngày, phân không có nhầy và máu","Không đau bụng, phân không có nhầy và máu","Đau bụng, tiêu nhiều lần trong ngày, phân có nhầy và máu","Đau bụng, tiêu chảy dây dưa",,C,"Cơn lỵ amip điển hình là đau bụng, tiêu nhiều lần trong ngày, phân có nhầy và máu."
Chuong2-1-cau57,57. Thể hoạt động của Entamoeba histolytica,Sống được ở nhiệt độ ngoài trời,Dễ bị hủy hoại ở nhiệt độ bên ngoài cơ thể,Có nhân thể ở giữa nhân,Cả B và C,,B,Thể hoạt động dễ bị hủy hoại khi ra môi trường bên ngoài.
Chuong2-1-cau58,58. Người bị nhiễm Entamoeba histolytica,Luôn luôn có biểu hiện lâm sàng rõ rệt,Không bị bệnh gì cả,Là người mang mầm bệnh và phát bệnh khi có điều kiện thuận lợi,Chỉ là người mang mầm bệnh,,C,Người mang E. histolytica có thể là người lành mang mầm bệnh và chỉ phát bệnh khi có điều kiện thuận lợi.
Chuong2-1-cau59,59. Thể hoạt động của Entamoeba histolytica,Không gây bệnh,"Gây bệnh cấp, có khả năng trở thành mãn tính hoặc có biến chứng",Luôn luôn có biến chứng,Gây bệnh hàng loạt,,B,"Thể hoạt động xâm lấn gây bệnh cấp, có khả năng trở thành mạn tính hoặc có biến chứng."
Chuong2-1-cau60,60. Thể hoạt động của Entamoeba histolytica,Chỉ sống vô hại trong lòng ruột,Gây vết loét ở ruột già khi thuận lợi,Gây vết loét ở tá tràng,Sống ở ruột non,,B,"Thể hoạt động xâm lấn thành ruột già, gây vết loét."
Chuong2-1-cau61,61. Bào nang Entamoeba histolytica nhiễm vào người,Qua đường tiêu hóa,Qua đường hô hấp,Qua đường da,Do côn trùng truyền,,A,Bào nang lây truyền qua đường tiêu hóa (ăn uống).
Chuong2-1-cau62,62. Khi xét nghiệm tìm thể hoạt động của Entamoeba histolytica,Phải cấy bệnh phẩm,Quan sát trực tiếp là đủ,Phải tiêm truyền qua thú,Làm phương pháp tập trung,,B,Xét nghiệm tìm thể hoạt động cần được quan sát trực tiếp (soi tươi) và làm nhanh.
Chuong2-1-cau63,63. Entamoeba histolytica là đơn bào có khả năng,"Bệnh có thể lan rộng, nhiều người mắc cùng lúc",Bệnh bao giờ cũng có sốt,"Bệnh phát lẻ tẻ, không thành dịch",Biến chứng không có,,C,"Bệnh lỵ amip thường phát lẻ tẻ, không thành dịch."
Chuong2-1-cau64,"64. Với Entamoeba histolytica, khi xét nghiệm bệnh phẩm cần phải",Không để lâu quá 2 giờ hoặc dùng dung dịch cố định phân,Cấy bệnh phẩm vào môi trường nuôi cấy,Dùng nước muối bảo hòa để tập trung KST,Làm kỹ thuật Baerman,,A,Cần xét nghiệm phân tìm thể hoạt động trong vòng 2 giờ hoặc cố định phân.
Chuong2-1-cau65,65. Biến chứng của bệnh lỵ Amip,Luôn luôn xảy ra,Xảy ra nếu điều trị không đúng quy cách trong lần nhiễm đầu,Không bao giờ xảy ra,"Xảy ra nhưng dự hậu tốt, không đáng lo ngại",,B,Biến chứng của lỵ amip có thể xảy ra nếu điều trị không đúng cách.
Chuong2-1-cau66,66. Entamoeba histolytica là đơn bào có khả năng,"Làm mắc bệnh hàng loạt, thành dịch","Làm mắc bệnh lỵ lẻ tẻ, không thành dịch",Bệnh lỵ chỉ xuất hiện ở từng vùng,Gây bệnh lỵ phổ biến ở trẻ em,,B,"Bệnh amip thường phát lẻ tẻ, không thành dịch."
Chuong2-1-cau67,"67. Với Entamoeba histolytica, khi xét nghiệm phân cần phải",Không để phân lâu quá 2 giờ hoặc dùng dung dịch cố định phân,Cấy bệnh phẩm vào môi trường nuôi cấy,Làm phương pháp tập trung bằng formol-ether,Làm phương pháp tập trung bằng nước muối bảo hòa,,A,Cần xét nghiệm phân tìm thể hoạt động trong vòng 2 giờ hoặc cố định phân.
Chuong2-1-cau68,"68. Chẩn đoán chính xác bệnh áp xe gan, phổi do Amip là",Chụp X quang,Dựa vào công thức bạch hầu,Chọc dò lấy mủ,Tính kháng thể kháng Amip trong huyết thanh,,C,Chọc hút mủ dưới siêu âm là phương pháp chẩn đoán xác định áp xe gan.
Chuong2-1-cau69,"69. Thực tế nước ta, khi xét nghiệm phân tìm Entamoeba histolytica, dù làm thật đúng quy cách, cũng khó tìm được thể hoạt động gây bệnh vì",Rất hiếm người nhiễm KST,Xét nghiệm vào lúc KST chưa theo phân ra ngoài,Chỉ quan sát trực tiếp nên khó tìm được KST,Bệnh nhân thường tự uống thuốc trước khi nhập viện nên chức năng sinh học của Amip bị ảnh hưởng,,D,"Việc bệnh nhân tự dùng thuốc làm amip thoái triển, khó tìm thấy thể hoạt động."
Chuong2-1-cau70,70. Xét nghiệm thật có giá trị chẩn đoán bệnh lỵ Amip là,Tìm được Amip trong phân,Cấy phân,Tìm kháng nguyên Amip trong huyết thanh bệnh nhân,Tìm kháng nguyên Amip trong phân,,C,Xét nghiệm miễn dịch tìm kháng thể/kháng nguyên trong huyết thanh có giá trị chẩn đoán amip xâm nhập.
Chuong2-1-cau71,71. Áp xe phổi do Amip thường là do,Amip từ gan lên phổi do tiếp xúc,Amip theo máu đến phổi,Bào nang từ thực quản lọt vào phổi rồi chuyển thành thể hoạt động gây bệnh,Amip từ tim vào phổi,,A,Áp xe phổi do amip là biến chứng khi áp xe gan vỡ xuyên qua cơ hoành.
Chuong2-1-cau72,72. Người chứa KST nhưng không có biểu hiện bệnh lý được gọi là.,Ký chủ vĩnh viễn,Ký chủ chính,Ký chủ chờ thời,Người lành mang mầm bệnh,,D,Người mang KST không có biểu hiện bệnh lý là Người lành mang mầm bệnh.
Chuong2-1-cau73,73. Tính đặc hiệu ký sinh của KST bao gồm.,Đặc hiệu về ký chủ,Đặc hiệu về nơi ký sinh,Đặc hiệu về ký chủ và nơi ký sinh,Tất cả đều đúng,,C,Tính đặc hiệu ký sinh bao gồm đặc hiệu về ký chủ và nơi ký sinh.
Chuong2-1-cau74,74. Đối tượng nào sau đây không phải là ký chủ trung gian của một số ký sinh trùng.,Muỗi anophen,Chó,Người,Ruồi nhà,,D,"Ruồi nhà là trung gian cơ học, không phải ký chủ trung gian (vector sinh học)."
Chuong2-1-cau75,75. Cơ chế miễn dịch không phải là.,Miễn dịch tự nhiên,Miễn dịch chủ động,Miễn dịch bị động,Miễn dịch hỗ trợ,,D,[Không tìm thấy giải thích rõ trong nguồn].
Chuong2-1-cau76,76. Loại ký sinh trùng nào sau đây có thể gây bệnh sốt rét.,Entamoeba histolytica,Giardia lamblia,Plasmodium falciparum,Toxoplasma gondii,,C,Plasmodium falciparum là KST gây sốt rét.
Chuong2-1-cau77,77. Loại ký sinh trùng nào gây ra bệnh giun chỉ lymphatic.,Wuchereria bancrofti,Onchocerca volvulus,Brugia malayi,A và C đều đúng,,D,Wuchereria bancrofti và Brugia malayi gây bệnh giun chỉ bạch huyết.
Chuong2-1-cau78,78. Ký sinh trùng nào sau đây không phải là đơn bào.,Plasmodium,Taenia,Entamoeba,Giardia,,B,"Taenia là sán (giun dẹp), không phải đơn bào."
Chuong2-1-cau79,79. Phương pháp nào sau đây thường dùng để phát hiện ký sinh trùng trong phân.,Phương pháp nhuộm Gram,Phương pháp cấy máu,Phương pháp soi tươi phân,Phương pháp xét nghiệm PCR,,C,Soi tươi phân là phương pháp trực tiếp thường dùng nhất để phát hiện KST trong phân.
Chuong2-1-cau80,80. Đối tượng nào sau đây thường là ký chủ chính của ký sinh trùng sốt rét.,Cún,Chó,Người,Gà,,[Không tìm thấy],[Không tìm thấy]
Chuong2-1-cau81,81. Ký sinh trùng nào gây ra bệnh tả.,Vibrio cholerae,Entamoeba histolytica,Giardia lamblia,Plasmodium vivax,,A,"Vibrio cholerae là vi khuẩn gây tả, không phải KST."
Chuong2-1-cau82,82. Ký sinh trùng nào có chu kỳ sinh sản trong cơ thể ký chủ chính.,Toxoplasma gondii,Schistosoma mansoni,Ascaris lumbricoides,Trichuris trichiura,,A,Chu trình sinh sản hữu tính (ký sinh chính) của Toxoplasma gondii chỉ xảy ra ở mèo.
Chuong2-1-cau83,83. Loại ký sinh trùng nào sau đây gây bệnh đau mắt hột.,Entamoeba histolytica,Plasmodium falciparum,Chlamydia trachomatis,Giardia lamblia,,C,Chlamydia trachomatis là vi khuẩn gây đau mắt hột.
Chuong2-1-cau84,84. Tính chất nào sau đây không phải của ký sinh trùng đơn bào.,Chia tách bằng phương pháp phân chia,Có thể sống trong cơ thể người,Có thể di chuyển nhờ lông hoặc roi,Tất cả đều đúng,,D,Tất cả đều là đặc điểm của đơn bào.
Chuong2-1-cau85,85. Ký sinh trùng nào sau đây có thể gây bệnh sán dây.,Taenia saginata,Taenia solium,Echinococcus granulosus,A và B đều đúng,,D,Taenia saginata và Taenia solium gây bệnh sán dây.
Chuong2-1-cau86,86. Phương pháp nào được dùng để phòng bệnh cho các bệnh do ký sinh trùng truyền qua đường hô hấp.,Tiêm phòng vắc-xin,Sử dụng thuốc kháng sinh,Sử dụng thuốc chống ký sinh trùng,Điều trị bệnh bằng phương pháp dân gian,,[Không tìm thấy],[Không tìm thấy]
Chuong2-1-cau87,87. Loại ký sinh trùng nào thường gây ra bệnh giun chỉ.,Wuchereria bancrofti,Onchocerca volvulus,Brugia malayi,Tất cả đều đúng,,D,"Wuchereria bancrofti, Onchocerca volvulus và Brugia malayi đều là KST gây bệnh giun chỉ."
Chuong2-1-cau88,88. Ký sinh trùng nào sau đây thường sống trong ruột người.,Plasmodium falciparum,Toxoplasma gondii,Ascaris lumbricoides,Trypanosoma brucei,,C,Ascaris lumbricoides (Giun đũa) ký sinh trong ruột non người.
Chuong2-1-cau89,89. Loại ký sinh trùng nào sau đây không có chu kỳ phát triển ngoài cơ thể người.,Entamoeba histolytica,Giardia lamblia,Trichuris trichiura,Taenia solium,,[Không tìm thấy],[Không tìm thấy]
Chuong2-1-cau90,90. Ký sinh trùng nào gây bệnh sốt rét có chu kỳ sinh sản trong gan và hồng cầu.,Plasmodium falciparum,Plasmodium vivax,Plasmodium malariae,Tất cả đều đúng,,D,Tất cả các loài Plasmodium gây sốt rét ở người đều có chu kỳ sinh sản vô tính trong gan và hồng cầu.
Chuong2-1-cau91,91. Cơ chế lây truyền của ký sinh trùng nào là qua tiếp xúc với nước bị ô nhiễm.,Schistosoma mansoni,Entamoeba histolytica,Giardia lamblia,Trichuris trichiura,,[Không tìm thấy],[Không tìm thấy]
Chuong2-1-cau92,92. Loại ký sinh trùng nào có thể gây ra bệnh rắn độc.,Ancylostoma duodenale,Strongyloides stercoralis,Hookworm,Toxocara canis,,[Không tìm thấy],[Không tìm thấy]
Chuong2-1-cau93,93. Tính chất nào sau đây không phải là đặc điểm của ký sinh trùng đa bào.,Có thể sống trong các mô cơ thể người,Có chu kỳ phát triển phức tạp,Có thể lây truyền qua đường tiêu hóa,Tất cả đều đúng,,D,Tất cả đều là đặc điểm của KST đa bào.
Chuong2-1-cau94,94. Ký sinh trùng nào sau đây có thể lây truyền qua đường máu.,Entamoeba histolytica,Giardia lamblia,Plasmodium falciparum,Trichuris trichiura,,C,Plasmodium falciparum (Sốt rét) lây truyền qua máu.
Chuong2-1-cau95,95. Phương pháp nào sau đây được sử dụng để phát hiện ký sinh trùng trong máu.,Phương pháp nhuộm Gram,Phương pháp soi tươi máu,Phương pháp cấy phân,Phương pháp xét nghiệm PCR,,B,Phương pháp soi tươi máu (phết máu) là phương pháp trực tiếp tìm KST trong máu.
Chuong2-1-cau96,96. Loại ký sinh trùng nào gây ra bệnh giun đũa.,Trichuris trichiura,Ascaris lumbricoides,Hookworm,Strongyloides stercoralis,,B,Ascaris lumbricoides là giun đũa người.
Chuong2-1-cau97,97. Loại ký sinh trùng nào sau đây có thể gây bệnh sán dây.,Entamoeba histolytica,Giardia lamblia,Taenia saginata,Plasmodium vivax,,C,Taenia saginata là sán dây bò.
Chuong2-1-cau98,98. Đối tượng nào sau đây không phải là ký chủ phụ của ký sinh trùng sốt rét.,Muỗi anophen,Chó,Người,Chó rừng,,[Không tìm thấy],[Không tìm thấy]
Chuong2-1-cau99,99. Ký sinh trùng nào gây bệnh viêm âm đạo.,Entamoeba histolytica,Trichomonas vaginalis,Giardia lamblia,Plasmodium vivax,,B,Trichomonas vaginalis gây viêm âm đạo và niệu đạo.
Chuong2-1-cau100,100. Phương pháp nào được sử dụng để phát hiện ký sinh trùng trong mô.,Phương pháp nhuộm Gram,Phương pháp cấy máu,Phương pháp soi phân,Phương pháp soi mô bệnh học,,D,Phương pháp soi mô bệnh học được dùng để phát hiện KST trong mô.
Chuong2-1-cau101,101. Loại ký sinh trùng nào sau đây có thể gây bệnh giun chui ống mật.,Schistosoma mansoni,Clonorchis sinensis,Fasciola hepatica,Taenia solium,,B,Clonorchis sinensis (sán lá gan nhỏ) ký sinh ở ống mật.
