id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong1_cau13,13. Vật chủ chính là.,Vật chủ chứa KST ở dạng trưởng thành.,Vật chủ chúa KST thực hiện sinh sản bằng hình thức hữu tính.,Vật chủ chúa KST thực hiện sinh sản bằng hình thức vô tính,A và B đúng.,A và C đúng.,D,Vật chủ chính là nơi chứa KST trưởng thành hoặc sinh sản hữu tính.
Chuong1_cau14,14. Người là vật chủ chính của các loại KST sau ngoại trừ,Giun đũa.,Giun móc,KST sốt rét.,Giun kim,Giun chỉ.,C,Người là Ký chủ trung gian của KST sốt rét.
Chuong1_cau15,15. Những KST sau được gọi là KST đơn ký ngoại trừ.,Giun đũa,Sán lá gan,Giun móc,Giun tóc,Giun kim,B,Sán lá gan cần Ký chủ trung gian (đa ký).
Chuong1_cau16,16. Về mặt kích thước KST là những sinh vật có.,Kích thước to nhỏ tuỳ loại KST.,Khoãng vài chục ? m,Khoãng vài mét.,Khoãng vài cm.,Khoãng vài mm.,A,Kích thước KST rất đa dạng.
Chuong1_cau17,"17. Ký sinh trùng muốn sống, phát triển, duy trì nòi giống nhất thiết phải có những điều kiện cần và đủ như.",Môi trường thích hợp,Nhiệt độ cần thiết.,Vật chủ tương ứng,"A,B Và C đúng.",A và C đúng.,D,"KST cần Môi trường thích hợp, Nhiệt độ cần thiết, và Vật chủ tương ứng."
Chuong1_cau18,"18. Trong quá trình phát triển KST luôn thay đổi về cấu tạo, hình dạng để thích nghi với điều kiện ký sinh.",Đúng,Sai,trống,trống,trống,B,"KST thay đổi để thích nghi, nhưng không phải 'luôn luôn thay đổi'."
Chuong1_cau19,"19. Để thực hiện chức năng sống ký sinh, KST có thể mất đi những bộ phận không cần thiết và phát triển những bộ phận cần thiết.",Đúng,Sai,trống,trống,trống,A,KST thoái hóa bộ phận không cần thiết và phát triển bộ phận cần thiết.
Chuong1_cau20,20. Vật chủ phụ là.,Vật chủ chứa KST ở dạng trưởng thành.,Vật chủ chứa KST ở dạng bào nang,Vật chủ chúa KST thực hiện sinh sản bằng hình thức vô tính,B và C đúng.,A và C đúng.,D,Vật chủ phụ chứa KST ở dạng bào nang hoặc sinh sản vô tính.
Chuong1_cau21,"21. Nếu người ăn phải trứng sán dây lợn, người sẽ là vật chủì.",Chính,Phụ,Trung gian,B và C đúng.,Tất cả các trên đều sai.,B,Người ăn trứng sán dây lợn sẽ trở thành vật chủ Phụ (chứa ấu trùng).
Chuong1_cau22,22. Qúa trình nghiên cứu ký sinh trùng cần chú ý một số đặc điểm sau đây ngoại trừ.,Đặc điểm sinh học cuả ký sinh trùng.,Phương thức phát triển và đặc điểm của bệnh,Vị trí gây bệnh của ký sinh trùng,Aính hưởng qua lại giữa ký sinh trùng và vật chủ,Kết quả tương tác qua lại giữa ký sinh trùng và vật chủ (tồn tại hoặc thoái triển),C,Quá trình nghiên cứu KST không tập trung vào Vị trí gây bệnh của KST.
Chuong1_cau23,"23. Ký sinh trùng là một sinh vật .............., trong quá trình sống nhờ vào những sinh vật khác đang sống, sử dụng các chất dinh dưỡng của những sinh vật đó, sống phát triển và duy trì sự sống.",Dị dưỡng.,Sống,Tự dưỡng,Tất cả các trên,Tất cả sai,B,Ký sinh trùng là một sinh vật Sống.
Chuong1_cau24,24. Người là vật chủ chính của các loại ký sinh trùng sau ngoại trừ.,Sán lá gan nhỏ,Sán dây bò,Ký sinh trùng sốt rét,Giun chỉ,Giun tóc,C,Người là Ký chủ trung gian của KST sốt rét.
Chuong1_cau25,25. Phương thức sinh sản của ký sinh trùng có thể là.,Phương thức sinh sản hữu tính,Sinh sản đơn tính,Sinh sản vô tính,Tất cả đúng,Tất cả sai,D,"KST có thể sinh sản hữu tính, đơn tính, và vô tính."
Chuong1_cau26,26. Phương thức sinh sản của ký sinh trùng có thể là.,Sinh sản đa phôi,Sinh sản tái sinh,Sinh sản nẩy chồi,Tất cả đúng,Tất cả sai,D,KST có nhiều hình thức sinh sản.
Chuong1_cau27,"27. Ký sinh trùng muốn sống, phát triển và duy trì nòi giống nhất thiết phải có các điều kiện cần và đủ ngoại trừ",Môi trường thích hợp,Nhiệt độ cần thiết,Vật chủ tương ứng và khối cảm thụ,Độ ẩm cần thiết,"Tính phong phú của động vật, thực vật và môi trường sống đã tạo một quần thể thích hợp cho ký sinh trùng phát triển.",D,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau28,28. Điền vào chỗ trống từ thích hợp. Trứng -> phát triển -> ......... -> Trưởng thành,namg trung,au trung,Ky sinh trung,giun dua,san la ruot,B,Chu trình phát triển cơ bản là: Trứng -> Ấu trùng -> Trưởng thành.
Chuong1_cau29,29. Chu kỳ đơn giản nhất của ký sinh trùng là chu kỳ.,Kiểu chu kỳ 1. mầm bệnh từ người ra ngoại cảnh vào 1 vật chủ trung gian rồi vật chủ trung gian đưa mầm bệnh vào người.,Kiểu chu kỳ 1. Mầm bệnh từ người thải ra ngoại cảnh 1 thời gian ngắn rồi lại xâm nhập vào người,Kiểu chu kỳ 2. Mầm bệnh từ người hoặc động vật vào vật chủ trùng gian rồi VCTG đưa mầm bệnh vào người,"Mầm bệnh ở người hoặc động vật được thải ra ngoại cảnh, sau đó xâm nhập vào vật chủ trung gian truyền bệnh (các loại giáp xác hoặc thuỷ sinh) nếu người hoặc động vật ăn phải các loại giáp xác hoặc thực vật thuỷ sinh sẽ mang bệnh",Tất cả các trên đều sai.,B,Chu kỳ đơn giản nhất là kiểu chu kỳ 1: Mầm bệnh từ người thải ra ngoại cảnh 1 thời gian ngắn rồi lại xâm nhập vào người.
Chuong1_cau30,30. Yếu tố nào sau đây là đặc điểm của bệnh ký sinh trùng.,Bệnh ký sinh trùng phổ biến theo mùa,Bệnh thường kéo dài suốt đời sống của sinh vật,Bệnh phổ biến theo vùng,Bệnh thường xuyên có tái nhiễm,Thường khởi phát rầm rộ.,C,Bệnh ký sinh trùng phổ biến theo vùng.
Chuong1_cau31,31. Bệnh ký sinh trùng có đặc điểm sau ngoại trừ.,Bệnh phổ biến theo vùng,Có thời hạn,Lâu dài,"Âm thầm, lặng lẽ",Thường xuyên gây các biến chứng nghiêm trọng,E,"Bệnh KST thường diễn biến âm thầm, lặng lẽ."
Chuong1_cau32,32. Sự tương tác qua lại giữ ký sinh trùng và vật chủ trogn quá trình ký sinh sẽ dẫn đến các kết quả sau ngoại trừ.,Ký sinh trùng bị chết do thời hạn,Ký sinh trùng bị chết do tác nhân ngoại lai,Vật chủ chết,Cùng tồn tại với vật chủ (hoại sinh),Cùng tồn tại với vật chủ (hợp sinh),D,"Hoại sinh là sống trên xác chết, không phải kết quả tương tác ký sinh."
Chuong1_cau33,33. Sinh vật bị KST sống nhờ và phát triển trong nó được gọi là.,Vật chủ,Vật chủ chính,Vật chủ trung gian,Vật chủ phụ,Tất cả các trên đều đúng,E,Tất cả các loại trên đều là Vật chủ.
Chuong1_cau34,34. Đặc điểm để phân biệt KST với sinh vật ăn thịt khác là.,KST chiếm các chất của vật chủ và gây hại cho vật chủ,KST chiếm các chất của vật chủ và phá huỷ tức khắc đời sống của vật chủ,KST chiếm các chất của cơ thể vật chủ một cách tiệm tiến,Tất cả đúng,Tất cả sai,C,KST chiếm các chất của cơ thể vật chủ một cách tiệm tiến.
Chuong1_cau35,35. Những KST bằng tác hại của chúng thực thụ gây các triệu chứng bệnh cho chủ là.,KST gây bệnh,KST truyền bệnh,Vật chủ trung gian,Tất cả đúng,Tất cả sai,A,KST gây bệnh là KST trực tiếp gây ra triệu chứng bệnh.
Chuong1_cau36,36. KST truyền bệnh là.,Những KST trung gian môi giới truyền bệnh,Những KST trung gian môi giới truyền bệnh và đôi khi có thể gây bệnh,Những KST gây bệnh,Tất cả đúng,Tất cả sai,B,"KST truyền bệnh vừa là trung gian môi giới truyền bệnh, vừa đôi khi có thể gây bệnh."
Chuong1_cau37,37. Vật chủ chính là.,Những sinh vật có KST sống nhờ,Những sinh vật mang KST ở giai đoạn sinh sản,Những sinh vật mang KST ở giai đoạn sinh sản hữu giới,Những sinh vật mang KST ở thể trưởng thành,Những sinh vật mang KST hoặc ở thể trưởng thành hoặc ở giai đoạn sinh sản hữu giới,E,Vật chủ chính chứa KST trưởng thành hoặc sinh sản hữu tính.
Chuong1_cau38,38. Mục đích phân biệt vật chủ chính và phụ là.,Xác định chu kỳ của ký sinh trùng,Nghiên cứu về vật chủ thuận lợi,Nghiên cứu dịch tễ học bệnh ký sinh trùng,Phòng chống bệnh có hiệu quả,trống,D,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau39,39. Cơ sở gọi tên Entamoeba histolytica dựa vào.,Hình thể của ký sinh trùng,Đặt tên để kỷ niệm,Nơi tìm ra ký sinh trùng lần đầu tiên,Sinh thái của ký sinh trùng,trống,D,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau40,40. Chu kỳ của ký sinh trùng nào dưới đây chỉ thực hiện ở trên cơ thể vật chủ.,Giun xoắn,Giun chỉ,Giun kim,Giun lươn,trống,B,Chu kỳ Giun chỉ cần KCVV (người) và KCTG (muỗi) mà không qua giai đoạn ở ngoại cảnh.
Chuong1_cau41,"41. Ăn rau sống không sạch người có thể nhiễm các ký sinh trùng sau, trừ.",Giun đũa,Giun tóc,Giun kim,Giun xoắn,trống,D,Giun xoắn (Trichinella spiralis) lây qua ăn thịt sống.
Chuong1_cau42,42. Ngoại ký sinh trùng là những ký sinh trùng.,Ký sinh ở các hốc tự nhiên của cơ thể,Ký sinh trên mặt da,Ký sinh ở các hốc tự nhiên và mặt da,Ký sinh ở lớp thượng bì,trống,C,Ngoại KST sống ở bề mặt cơ thể hoặc các hốc tự nhiên.
Chuong1_cau43,43. Bạch cầu toan tính thường không tăng khi người nhiễm loại ký sinh trùng.,Ancylostoma duodenale ( giun móc ),Giardia intestinalis,Ascaris lumbricoides ( giun đũa ),Toxocara canis ( giun đũa chó ),trống,B,"Giardia intestinalis là đơn bào, thường không gây tăng bạch cầu ái toan."
Chuong1_cau44,44. Tác hại hay gặp nhất do ký sinh trùng gây ra.,Đau bụng,Mất sinh chất,Biến chứng nội khoa,Thiếu máu,trống,B,Tác hại hay gặp nhất là Mất sinh chất (hao sinh chất).
Chuong1_cau45,45. Bạch cầu ái toan có thể tăng cao khi bị bệnh.,Enterobius vermicularis,Ascaris lumbricoides,Giardia lamblia,Toxocara canis,trống,D,Tăng bạch cầu ái toan cao thường gặp trong hội chứng ấu trùng di chuyển (Larva migrans) do Toxocara canis.
Chuong1_cau46,46. Các hội chứng bệnh ký sinh trùng là.,"Sốt, viêm, dị ứng và tắc cơ học","Viêm, nhiễm độc, dị ứng và hao sinh chất","Sốt, viêm, nhiễm độc và dị ứng","Hao sinh chất, nhiễm độc, tắc cơ học và dị ứng",trống,B,"Hội chứng bệnh KST gồm: Viêm, nhiễm độc, dị ứng, và hao tổn (hao sinh chất)."
Chuong1_cau47,47. Cơ sở gọi tên Clonorchis sinensis dựa vào.,Địa danh tìm thấy ký sinh trùng lần đầu tiên,Sinh thái của ký sinh trùng,Đặt tên để kỷ niệm,Hình thể của ký sinh trùng,trống,A,Tên sinensis liên quan đến địa danh (Trung Quốc).
Chuong1_cau48,48. Hiện tượng một sinh vật sống trên xác chết của sinh vật khác gọi là.,Hỗ sinh,Cộng sinh,Hoại sinh,Hội sinh,trống,C,Hoại sinh (Saprophytism) là sống trên xác chết.
Chuong1_cau49,49. Loài ký sinh trùng phổ biến ở nước ta là.,Giun kim,Giun chỉ,Giun đũa,Sốt rét,trống,C,Giun đũa là KST phổ biến nhất ở Việt Nam.
Chuong1_cau50,50. Đặc điểm miễn dịch ký sinh trùng là.,Chỉ có ký sinh trùng ký sinh ở tổ chức mới có miễn dịch,"Không cao, không bền vững",Chỉ có miễn dịch tế bào,Có miễn dịch chéo giữa các họ,trống,B,"Miễn dịch thu được đối với KST thường không cao, không bền vững."
Chuong1_cau51,51. Ký sinh trùng nào dưới đây thuộc lớp côn trùng.,Mò đỏ,Bọ chét,Ghẻ,Ve,trống,B,Bọ chét thuộc Lớp Côn trùng (Insecta).
Chuong1_cau52,52. Cơ sở gọi tên Ancylostoma duodenale dựa vào.,Sinh thái của ký sinh trùng,Địa danh tìm thấy ký sinh trùng lần đầu tiên,Đặt tên để kỷ niệm,Hình thể của ký sinh trùng,trống,D,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau53,53. Tác hại hay gặp nhất do ký sinh trùng gây ra.,Đau bụng,Mất sinh chất,Thiếu máu,Biến chứng nội khoa,trống,B,Tác hại hay gặp nhất là Mất sinh chất.
Chuong1_cau54,54. Bệnh ký sinh trùng gây nhiều tác hại là.,Ký sinh trùng sốt rét,Lỵ amip,Sán lá gan nhỏ,Giun chỉ,trống,A,KST sốt rét gây nhiều tác hại.
Chuong1_cau55,"55. Những loại sinh vật dưới đây là ký sinh trùng, trừ.",Musca domestica,Nấm ký sinh,Chấy rận,Clonorchis sinensis,trống,A,Musca domestica (Ruồi nhà) không phải KST.
Chuong1_cau56,56. Người không phải là vật chủ chính của loài ký sinh trùng nào dưới đây.,Ký sinh trùng sốt rét,Giun xoắn,Sán dây bò,Sán dây lợn,trống,A,Người là Ký chủ trung gian của KST sốt rét.
Chuong1_cau57,"57. Ký sinh trùng nào dưới đây vừa có khả năng gây bệnh, vừa truyền bệnh.",Ruồi nhà,Cái ghẻ,Muỗi cái,Rệp,trống,C,Muỗi cái vừa gây bệnh (hút máu) vừa truyền KST.
Chuong1_cau58,58. Loài ký sinh trùng nào dưới đây trong chu kỳ trải qua nhiều vật chủ nhất.,Sán lá phổi,Sán dây lợn,Sán lá ruột,Sán dây bò,trống,A,Sán lá phổi cần hai ký chủ trung gian (ốc và cua/tôm).
Chuong1_cau59,"59. Ăn rau sống không sạch có thể bị nhiễm các ký sinh trùng sau, trừ.",Lỵ amip,Giun tóc,Trùng roi đường sinh dục,Giun đũa,trống,C,Trùng roi đường sinh dục (Trichomonas vaginalis) lây qua giao hợp.
Chuong1_cau60,60. Loài ký sinh trùng nào dưới đây không phải là ngoại ký sinh trùng.,Musca domestica ( ruồi nhà ),Culex quinquefasciatus ( muỗi culex ),Anopheles minimus ( muỗi anopheles ),Xenopsylla cheopis ( bọ chét chuột ),trống,A,Ruồi nhà không phải KST.
Chuong1_cau61,"61. Ký sinh trùng nào dưới đây vừa có hình thức sinh sản vô tính, vừa có hình thức sinh sản hữu tính.",Entamoeba coli,Entamoeba histolytica,Balantidium coli,Trichomonas vaginalis,trống,C,Balantidium coli sinh sản vô tính và hữu tính.
Chuong1_cau62,"62. Những ký sinh trùng dưới đây có sinh sản lưỡng giới, trừ.",Taenia saginata,Schistosoma mansoni,Paragonimus ringeri,Fasciolopsis buski,trống,B,Schistosoma mansoni (Sán máng) là loài sán đơn tính (không lưỡng tính).
Chuong1_cau63,63. Ảnh hưởng nào của ký sinh trùng với vật chủ dưới đây là có hại nhất.,Chiếm thức ăn,Gây độc,Vận chuyển mầm bệnh mới vào cơ thể vật chủ,Gây tắc cơ học,trống,A,Chiếm thức ăn (tước đoạt dinh dưỡng) là tác hại có hại nhất.
Chuong1_cau64,64. Loài ký sinh trùng nào dưới đây là ký sinh trùng tạm thời.,Ruồi,Cái ghẻ,Ve,"Chấy, rận",trống,C,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau65,65. Sinh vật sau đây không phải là ký sinh trùng.,Dĩn,Ruồi nhà,Muỗi cái,Bọ chét,trống,B,Ruồi nhà không phải KST.
Chuong1_cau66,66. Người mang ký sinh trùng nhưng không có biểu hiện bệnh lý gọi là.,Vật chủ bị bệnh mạn tính,Vật chủ có miễn dịch bảo vệ,Vật chủ mang ký sinh trùng lạnh,Vật chủ phụ,trống,C,Người mang KST không biểu hiện bệnh lý gọi là Vật chủ mang ký sinh trùng lạnh.
Chuong1_cau67,67. Vật chủ chính là vật chủ.,Mang ký sinh trùng ở thể trưởng thành hoặc có giai đoạn sinh sản hữu tính,Mang ký sinh trùng ở giai đoạn sinh sản hữu tính,Mang ký sinh trùng ở thể trưởng thành,Mang ký sinh trùng ở thể ấu trùng,trống,A,Vật chủ chính chứa KST trưởng thành hoặc sinh sản hữu tính.
Chuong1_cau68,68. Sinh vật sau đây không phải là ký sinh trùng.,Dĩn,Muỗi cái,Ve,Ruồi nhà,trống,D,Ruồi nhà không phải KST.
Chuong1_cau69,69. Kết quả của sự ảnh hưởng qua lại giữa ký sinh trùng và vật chủ có thể là.,"Ký sinh trùng chết, vật chủ mang ký sinh trùng lạnh hoặc bị bệnh","Vật chủ bị bệnh, ký sinh trùng bị đào thải hoặc vật chủ khỏi bệnh để lại di chứng","Vật chủ chết, ký sinh trùng chết hoặc vật chủ bị bệnh","Vật chủ có miễn dịch suốt đời, ký sinh trùng bị đào thải hoặc ký sinh trùng bị tiêu diệt",trống,A,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau70,70. Loài ký sinh trùng nào dưới đây là ký sinh trùng vĩnh viễn.,Ve,Rệp,"Chấy, rận",Bọ chét,trống,C,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau71,71. Ký sinh trùng nào dưới đây không có khả năng sinh sản lưỡng tính.,Clonorchis sinensis ( sán lá gan nhỏ ),Schistosoma mansoni ( sán máng ),Paragonimus westermani ( sán lá phổi ),Taenia saginata ( sán dải bò ),trống,B,Sán máng (Schistosoma mansoni) là sán đơn tính.
Chuong1_cau72,72. Loại ký sinh trùng có thể tự tăng sinh trong cơ thể người.,Giun tóc,Giun chỉ,Giun kim,Giun móc,trống,C,Giun kim có cơ chế tự tăng sinh (tự nhiễm).
Chuong1_cau73,73. Quan hệ giữa Balantidium coli và người là.,Hoại sinh,Hỗ sinh,Cộng sinh,Ký sinh,trống,D,Balantidium coli gây bệnh lỵ Balantidiasis (quan hệ ký sinh).
Chuong1_cau74,74. Loại ký sinh trùng có thể tăng sinh trong cơ thể người là.,Giun kim,Giun móc,Giun tóc,Sán lá gan,trống,A,Giun kim có khả năng tăng sinh (tự nhiễm).
Chuong1_cau75,75. Người nhiễm ký sinh trùng nhưng không có biểu hiện bệnh lý gọi là.,Bệnh mạn tính,Mang ký sinh trùng tình cờ,Mang ký sinh trùng lạnh,Có miễn dịch bảo vệ,trống,C,Người nhiễm KST không biểu hiện bệnh lý là Mang ký sinh trùng lạnh.
Chuong1_cau76,76. Đặc điểm của bệnh ký sinh trùng gồm.,"Dễ thành mạn tính, không sốt, âm thầm lặng lẽ và quy mô rộng lớn","Bệnh vùng, sốt nhẹ, âm thầm lặng lẽ và kéo dài","Không sốt, dễ lây lan, âm thầm lặng lẽ và lâu dài","Bệnh vùng, âm thầm, lặng lẽ, lâu dài và có thời hạn",trống,D,"Bệnh KST có đặc điểm Bệnh vùng, âm thầm, lặng lẽ, lâu dài và có thời hạn."
Chuong1_cau77,77. Hội chứng bệnh ký sinh trùng nào dưới đây thường gặp và gây nhiều tác hại nhất.,Nhiễm độc,Viêm,Hao sinh chất,Dị ứng,trống,C,Hao sinh chất (tước đoạt dinh dưỡng) là hội chứng gây nhiều tác hại.
Chuong1_cau78,"78. Người có thể nhiễm các ký sinh trùng sau qua đường nước, trừ.",Giun chỉ,Sán nhái,Amip,Sán máng,trống,A,Giun chỉ lây truyền qua muỗi đốt.
Chuong1_cau79,79. Mối quan hệ giữa E.coli và cơ thể người là.,Hội sinh,Ký sinh,Hoại sinh,Cộng sinh,trống,A,Entamoeba coli là KST hội sinh.
Chuong1_cau80,80. Ký sinh trùng là những sinh vật sống nhờ vào.,Những sinh vật khác chiếm chất của sinh vật đó để sống và phát triển,"Những sinh vật đang sống, chiếm các chất của sinh vật đó để sống và phát triển","Những sinh vật đang sống, chiếm các chất của sinh vật đó để phát triển",Những sinh vật khác chiếm chất dinh dưỡng để sống và sinh sản,trống,B,"Ký sinh trùng sống nhờ vào những sinh vật đang sống, chiếm chất."
Chuong1_cau81,81. Ký sinh trùng học là môn khoa học nghiên cứu Ký sinh trùng nào dưới đây.,Ký sinh trùng thực vật,Ký sinh trùng của người,Ký sinh trùng động vật,"Ký sinh trùng của người, động vật và thực vật",trống,D,"KST học nghiên cứu KST của người, động vật và thực vật."
Chuong1_cau82,82. Ký sinh trùng nào dưới đây không phải là nội ký sinh trùng.,Balantidium coli,Giardia intestinalis,Entamoeba histolytica,Trichomonas vaginalis,trống,D,Trichomonas vaginalis ký sinh ở đường niệu - sinh dục (không phải nội KST tiêu hóa ruột).
Chuong1_cau83,83. Bạch cầu toan tính thường không tăng khi người bị nhiễm loại ký sinh trùng.,Toxocara canis,Ascaris lumbricoides,Giardia intestinalis,Ancylostoma duodenale,trống,C,Giardia intestinalis (đơn bào) thường không gây tăng bạch cầu ái toan.
Chuong1_cau84,84. oài ký sinh trùng nào dưới đây là đơn ký.,Xenopsylla cheopis ( bọ chét chuột ko lược ),Aedes aegypti ( muỗi aedes ),Pulex irritans,Anopheles minimus ( muỗi anopheles ),trống,C,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau85,85. Chu kỳ của ký sinh trùng nào dưới đây cần ít vật chủ nhất.,Giun chỉ,Sán lá gan nhỏ,Sán lá gan lớn,Giun lươn,trống,D,Giun lươn (Strongyloides stercoralis) có thể hoàn thành chu kỳ chỉ cần 1 ký chủ (người).
Chuong1_cau86,86. Hãy chọn trả lời đúng cho định nghĩa về vật chủ.,Vật chủ của ký sinh trùng là người và động vật,Vật chủ là người và động vật mang ký sinh trùng ở thể trưởng thành,Vật chủ của ký sinh trùng là người và động vật bị ký sinh trùng ăn bám,Vật chủ là sinh vật bị sinh vật khác ký sinh,trống,D,Vật chủ là sinh vật bị sinh vật khác ký sinh.
Chuong1_cau87,87. Bạch cầu ái toan có thể tăng cao khi bị bệnh.,Giun đũa người,Giun đũa chó,Trùng roi,Giun móc,trống,B,"Tăng bạch cầu ái toan cao thường gặp trong bệnh do ấu trùng di chuyển, ví dụ Giun đũa chó (Toxocara canis)."
Chuong1_cau88,88. Hiện tượng một ký sinh trùng sống trên một ký sinh trùng khác gọi là.,Cộng sinh,Hỗ sinh,Bội ký sinh,Hội sinh,trống,C,Bội ký sinh (Epiparasitism) là KST ký sinh trên KST khác.
Chuong1_cau89,89. Đặc điểm sinh sản nổi bật của ký sinh trùng là.,Hữu tính,"Nhanh, nhiều và dễ dàng",Vô tính,Lưỡng tính,trống,B,"KST có đặc điểm sinh sản Nhanh, nhiều và dễ dàng."
Chuong1_cau90,90. Trong bệnh ký sinh trùng nói chung tăng loại tế bào máu nào dưới đây.,Tăng lympho bào,Tăng bạch cầu đa nhân toan tính,Tăng bạch cầu đa nhân trung tính,Tăng bạch cầu đa nhân kiềm tính,trống,B,Bệnh KST nói chung thường gây Tăng bạch cầu đa nhân toan tính.
Chuong1_cau91,91. Cơ sở gọi tên giống muỗi Mansonia dựa vào.,Sinh thái của ký sinh trùng,Địa danh tìm thấy ký sinh trùng lần đầu tiên,Hình thể của ký sinh trùng,Đặt tên để kỷ niệm,trống,D,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau92,92. Bệnh ký sinh trùng phổ biến nhất ở Việt Nam.,Amip,Giun đũa,Sốt rét,Giun kim,trống,B,Giun đũa là bệnh KST phổ biến nhất ở Việt Nam.
Chuong1_cau93,93. trả lời nào dưới đây chưa đúng về vật chủ của ký sinh trùng.,Người là vật chủ chính của giun chỉ,Người là vật chủ phụ của Taenia solium,Người là vật chủ chính có thể là vật chủ phụ của ký sinh trùng,Người là vật chủ chính của ký sinh trùng sốt rét,trống,D,Người là Ký chủ trung gian của KST sốt rét.
Chuong1_cau94,"94. Người có thể nhiễm các ký sinh trùng sau qua đường nước, trừ.",Sán máng,Giun chỉ,Trùng lông,Sán nhái,trống,B,"Giun chỉ lây truyền qua côn trùng đốt (muỗi), không phải qua đường nước."
Chuong1_cau95,95. Kỹ thuật chẩn đoán ký sinh trùng chính xác nhất hiện nay là.,PCR (Polymerase Chain Reaction),Miễn dịch phóng xạ,Ngưng kết hồng cầu thụ động,Miễn dịch men ELISA (Enzyme Linked Immunosorbent Assay),trống,A,PCR (Phản ứng chuỗi Polymerase) là kỹ thuật chính xác nhất hiện nay.
