id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich,
Chuong2-3-cau22,22. Metronidazole có tác dụng trên các loại ký sinh trùng sau đây trừ,Trichomonas vaginalis,E. histolytica,T.intestinalis,Giardia lamblia,Candida albicans,E,"Metronidazole là thuốc kháng đơn bào, không tác dụng trên nấm Candida albicans [12].",
Chuong2-3-cau23,23. Trichomonas vaginalis có thể điều trị bằng các thuốc sau đây trừ,Quinacrine,Diiodohydroxyquinoleine,Metronidazole,Mebendazole,Cao lá nhội (Bischofa javanica),D,"Mebendazole là thuốc trị giun sán, không dùng trị đơn bào Trichomonas vaginalis [13].",
Chuong2-3-cau24,24. Giardia lamblia có thể điều trị bằng các thuốc sau đây trừ,Metronidazole,Quinacrine,Tinidazole,Nimorazole,Clotrimazole,E,"Clotrimazole là thuốc kháng nấm, không dùng trị Giardia lamblia [13].",
Chuong2-3-cau25,25. Phòng bệnh trùng roi thìa không cần cách này,"ăn chín, uống sôi",rữa tay trước khi đi cầu,chữa lành người bệnh,Điều trị cho người mang mầm bệnh,Không dùng chung vật dụng vệ sinh tắm rữa,E,"Trùng roi thìa lây qua đường tiêu hóa/phân, không liên quan đến việc dùng chung vật dụng vệ sinh tắm rửa [13].",
Chuong2-3-cau26,26. Phòng bệnh trùng roi âm đạo không cần điều này,chữa lành người bệnh,Điều trị cho người mang mầm bệnh,Không dùng chung vật dụng vệ sinh tắm rữa,"ăn chín, uống sôi",Tuyên truyền vệ sinh phòng bệnh,D,"Trùng roi âm đạo lây qua đường tình dục/tiếp xúc, không cần ăn chín, uống sôi [14].",
Chuong2-3-cau27,27. Bốn lớp của ngành đơn bào là.,"Trùng roi, trùng lông, chân giả và bào tử trùng","Trùng roi, trùng lông, chân giả và ký sinh trùng sốt rét","Trùng roi, trùng lông, amip lỵ và ký sinh trùng sốt rét","Trùng roi, trùng lông, amip lỵ và amip đại tràng","Trùng roi, trùng lông, ký sinh trùng sốt rét và bào tử trùng",A,"Ngành đơn bào có 4 lớp: Trùng roi, Trùng lông, Chân giả và Bào tử trùng [5, 14].",
Chuong2-3-cau28,28. Gặp điều kiện không thuận lợi các loại đơn bào sau có thể trở thành bào nang trừ,Balantidium coli,Trichomonas vaginalis,Giardia lamblia,Entamoeba coli,Entamoeba histolytica,B,"Trichomonas vaginalis là đơn bào không có thể bào nang [15, 16].",
Chuong2-3-cau29,29. Trùng roi âm đạo được lây truyền trực tiếp bằng thể bào nang.,Đúng,Sai,,,,B,"Sai, T. vaginalis được lây truyền trực tiếp bằng thể hoạt động, không có bào nang [15, 16].",
Chuong2-3-cau30,30. Trùng roi thìa có thể gây nên hội chứng lỵ,Đúng,Sai,,,,B,"Sai, Giardia lamblia gây tiêu chảy/rối loạn tiêu hóa, không gây hội chứng lỵ (phân nhầy máu) [15].",
Chuong2-3-cau31,31. Trùng roi âm đạo không bao giờ gây bệnh ở đường tiêu hoá,Đúng,Sai,,,,A,"Đúng, T. vaginalis chỉ ký sinh ở đường niệu dục [15, 17].",
Chuong2-3-cau32,32. Trùng lông đại tràng (Balantidium coli) có thể gây nên hội chứng lỵ ở người.,Đúng,Sai,,,,A,"Đúng, Balantidium coli xâm lấn đại tràng gây bệnh kiết lỵ trùng lông [15].",
Chuong2-3-cau33,33. Trùng roi có thể gây thiếu máu ở trẻ em.,Đúng,Sai,,,,A,"Đúng, Giardia lamblia (Trùng roi thìa) gây thiếu máu do kém hấp thu [3, 4].",
Chuong2-3-cau34,34. Trẻ em ít bị nhiễm trùng roi thìa hơn người lớn.,Đúng,Sai,,,,B,"Sai, trẻ em là đối tượng dễ nhiễm Giardia lamblia [4, 18].",
Chuong2-3-cau72,72. Balintidium coli có,Ký chủ thật sự là người,"Ký chủ thật sự là heo, người tình cờ bị nhiễm",Ký chủ thật sự là mèo,Ký chủ thật sự là chó,,B,"Heo là ký chủ thật sự của Balantidium coli, người nhiễm tình cờ [4].",
Chuong2-3-cau73,73. Balintidium coli là một đơn bào,Không gây bệnh,Gây bệnh ngứa ngoài da,Gây bệnh kiết lỵ,Gây sốt cách nhật,,C,"Balantidium coli gây bệnh kiết lỵ (Balantidiasis) [4, 19].",
Chuong2-3-cau74,74. Khi bị nhiễm Balintidium coli thì,Luôn luôn có biểu hiện lâm sàng,Sẽ có biểu hiện lâm sàng khi KST gặp điều kiện thuận lợi,Chỉ là người lành mang mầm bệnh mãi mãi,Không đáng lo ngại,,B,"B. coli có thể tồn tại ở dạng bào nang, phát bệnh khi KST gặp điều kiện thuận lợi [20].",
Chuong2-3-cau75,75. Balintidium coli là một KST,"Đơn bào, lớn nhất trong ruột già",Đa bào,Bền vững khi ở môi trường bên ngoài,Không gây bệnh cho người,,A,Balantidium coli là đơn bào lớn nhất ký sinh ở ruột già [20].,
Chuong2-3-cau76,"76. Để phòng ngừa bệnh do Balintidium coli, ta phải",Không đi chân đất,Không nuôi heo gần nơi sinh hoạt,"Giữ vệ sinh thực phẩm,vệ sinh cá nhân",Cả B và C,,D,"Phòng bệnh B. coli bằng cách tránh nguồn bệnh (heo) và giữ vệ sinh [20, 21].",
Chuong2-3-cau77,77. Balintidium coli,Không gây biến chứng,"Có thể gây biến chứng ở gan, phổi",Gây bệnh nhẹ,Gây bệnh nặng vì kích thước to,,B,[Không tìm thấy giải thích rõ trong nguồn],
Chuong2-3-cau78,78. Thực phẩm của Balintidium coli là,Hồng cầu,"Vi khuẩn, tinh bột, cặn bã trong ruột, hồng cầu",Vi khuẩn trong ruột,Chất tiết trong ruột,,B,"Thực phẩm của B. coli là vi khuẩn, tinh bột, cặn bã, và hồng cầu (khi xâm lấn) [21, 22].",
Chuong2-3-cau79,79. Balintidium coli sinh sản bằng ách,Trực phân,Gián phân,Tiếp hợp,Cả A và C,,D,"B. coli sinh sản vô tính (trực phân) và hữu tính (tiếp hợp) [21, 22].",
Chuong2-3-cau80,80. Balintidium coli gây sang thương ở ruột theo cơ chế,Tạo thành áp- xe giống hình cái bình,Tiết ra độc tố trong ruột,Bào mòn bề mặt niêm mạc ruột,Phải kết hợp vi khuẩn để tạo vết loét,,A,"B. coli gây vết loét hình bình miệng [19, 22].",
Chuong2-3-cau81,"81. Chẩn đoán bệnh do Balintidium coli, ngoài việc quan sát trực tiếp phân, còn có thể",Soi trực tràng,Hút dịch tá tràng,Làm siêu âm,Chụp X quang,,A,"Soi trực tràng có thể giúp chẩn đoán B. coli [19, 23].",
Chuong2-3-cau82,82. Chuyển động bằng lông là đơn bào,Entamoeba coli,Trichomonas vaginalis,Balantidium coli,"Tất cả A, B và C",,C,"B. coli di chuyển bằng lông [5, 23].",
Chuong2-3-cau83,83. Trichomonas vaginalis có hình dạng,Hình bầu dục,Hình cầu hay quả lê,Hình tròn,"Tất cả A, B, C",,B,"T. vaginalis có hình dạng quả lê [23, 24].",
Chuong2-3-cau84,84. Số lượng roi của Trichomonas vaginalis,4 roi hướng ra trước và 1roi dính vào thân hướng về sau,5 roi hướng ra trước và 2 roi dính vào thân hướng về sau,3 roi hướng ra trước và 2 roi dính vào thân hướng về sau,2 roi hướng ra trước và 2 roi dính vào thân hướng về sau,,A,T. vaginalis có 4 roi tự do và 1 roi dính vào thân tạo màng sóng [23-25].,
Chuong2-3-cau85,85. Trichomonas vaginalis sinh sản,Hữu tính,Vô tính bằng phương thức phân đôi theo chiều dài,Lưỡng tính,"Tất cả A, B và C",,B,"T. vaginalis sinh sản vô tính bằng phân đôi theo chiều dài [25, 26].",
Chuong2-3-cau86,86. Trichomonas vaginalis dễ dàng tăng sinh khi,pH âm đạo tăng,Hàm lượng glycogen trong niêm mạc âm đạo tăng,Folliculin giảm,"Tất cả A, B và C",,A,T. vaginalis dễ dàng tăng sinh khi pH âm đạo tăng (môi trường kiềm) [25].,
Chuong2-3-cau87,87. Trichomonas vaginalis thường ký sinh ở,Nam giới và nữ giới,Nữ giới,Động vật có vú,"Tất cả A, B và C",,A,T. vaginalis ký sinh ở đường niệu sinh dục của cả nam và nữ [25].,
Chuong2-3-cau88,88. Trichominas vaginalis gây,Xuất huyết,Viêm bán cấp và mãn tính đường niệu và sinh dục,Vô sinh,"Tất cả A, B, C",,B,T. vaginalis gây viêm đường niệu và sinh dục [27].,
Chuong2-3-cau89,89. Trichominas vaginalis,"Có một nhân to hình trứng, không có bào nang","Có một nhân to hình trứng, có bào nang","Có hai nhân to hình trứng, không có bào nang","Không nhân to, không có bào nang",,A,"T. vaginalis có một nhân to hình trứng và không có thể bào nang [16, 27].",
Chuong2-3-cau90,90. Trichominas vaginalis là một ký sinh truyền qua,Đường tiêu hóa,Đường sinh dục,Do côn trùng truyền,Đường hô hấp,,B,T. vaginalis lây truyền qua đường sinh dục [27].,
Chuong2-3-cau91,91. Trichominas vaginalis lây lan theo cách,Gián tiếp,Trực tiếp,Do nhiễm bào nang,Cả A và B,,B,T. vaginalis lây truyền trực tiếp qua giao hợp [28].,
Chuong2-3-cau92,"92. Người phụ nữ bị huyết trắng ngứa nhiều ở âm hộ, có thể nhiễm",Entamoeba histolytica,Trichominas vaginalis,Entamoeba coli,Cả A và B,,B,Huyết trắng ngứa nhiều ở âm hộ là triệu chứng điển hình của T. vaginalis [28].,
Chuong2-3-cau93,93. Phương pháp chẩn đoán Trichominas vaginalis ở đàn ông là,Xét nghiệm nước tiểu,Xoa bóp tuyến tiền liệt và cấy chất nhờn tiết ra,Xét nghiệm chất nhờn tiết ra sau khi xoa bóp tuyến tiền liệt,Cả B và C,,D,"Chẩn đoán T. vaginalis ở nam giới bao gồm xét nghiệm chất nhờn tuyến tiền liệt và nuôi cấy [24, 28].",
Chuong2-3-cau94,94. Điều trị Trichominas vaginalis phải tuân thủ nguyên tắc,"Điều trị tại chỗ, điều trị toàn than và cả đối tượng của người bệnh",Điều trị cả vi nấm và vi trùng,Điều trị Trichominas vaginalis trước rồi mới điều trị các KST khác,Cả A và B,,D,"Nguyên tắc điều trị T. vaginalis cần điều trị toàn diện (A) và kết hợp điều trị các tác nhân đồng hành khác (B) [24, 29].",
Chuong2-3-cau95,"95. Các đơn bào dưới đây có thể trở thành bào nang khi gặp điều kiện không thích hợp, trừ",Balantidium coli,Trichominas vaginalis,Entamoeba histolytica,T.vaginalis,,D,T. vaginalis không có thể bào nang [29].,
Chuong2-3-cau96,96. Trichominas vaginalis,Ký sinh vô hại ở ruột già,Sống được ở ruột và miệng,Sống ở âm đạo và niệu đạo,Sống ở tá tràng,,C,T. vaginalis ký sinh ở đường sinh dục/niệu đạo [29].,
Chuong2-3-cau97,97. Bệnh phẩm để chẩn đoán Trichominas vaginalis là,Phân,Máu,Đàm,Huyết trắng,,D,"Bệnh phẩm chính là huyết trắng (khí hư) [24, 30].",
Chuong2-3-cau98,98. Trichominas vaginalis thường,Sống ở âm đạo của phụ nữ mọi lứa tuổi,Hiếp gặp ở đàn ông,Phổ biến ở phụ nữ mãn kinh,Phổ biến ở phụ nữ lứa tuổi sinh đẻ,Chỉ ký sinh ở niệu đạo nữ giới và nam giới,D,T. vaginalis phổ biến ở phụ nữ lứa tuổi sinh đẻ [30].,
Chuong2-3-cau99,"99. Phụ nữ bị huyết trắng, ngứa rất nhiều ở âm hộ, có thể là do nhiễm",Trichominas hominis,Trichominas vaginalis,Candida albicans,Cả A và B,Cả B và C,E,"Cả T. vaginalis và Candida albicans đều gây huyết trắng, ngứa âm hộ [30, 31].",
Chuong2-3-cau100,"100. Chẩn đoán Trichominas vaginalis, soi tươi bệnh phẩm thì dễ thấy hơn là nhuộm tiêu bản vì khi nhuộm thì KST","Sẽ tròn mình lại, không còn di động, khó nhận ra","Sẽ bị biến dạng, khó nhận ra",Không bắt màu thuốc nhuộm,"Cả A, B và C",,D,"KST khi nhuộm dễ bị tròn lại, biến dạng và mất khả năng di động [31, 32].",
Chuong2-3-cau101,101. CÁch chính xác nhất để đánh giá kết quả điều trị bệnh do Trichominas vaginalis là,Quan sát trực tiếp rồi cấy bệnh phẩm,Quan sát trực tiếp bệnh phẩm là đủ,Cấy bệnh phẩm,Dựa vào biểu hiện lâm sàng,,C,"Nuôi cấy bệnh phẩm (cấy) là cách chính xác nhất để đánh giá kết quả điều trị T. vaginalis [24, 32].",
Chuong2-3-cau102,102. Hình thể Giardia lamblia,Thể hoạt động,Thể bào nang,Thể hoạt động và bào nang,"Tất cả A, B và C sai",,C,"Giardia lamblia tồn tại ở hai dạng: hoạt động và bào nang [2, 32].",
Chuong2-3-cau103,103. Thể hoạt động của Giardia lamblia,Có 2 nhân lớn,Có 1 nhân lớn,Có 3 nhân lớn,Có 4 nhân lớn,,A,"Thể hoạt động G. lamblia có 2 nhân lớn [2, 33].",
Chuong2-3-cau104,104. Thể hoạt động của Giardia lamblia,Có 5 đôi roi,Có 4 đôi roi,Có 3 đôi roi,Có 2 đôi roi,,B,"Thể hoạt động G. lamblia có 4 đôi roi (8 roi) [2, 33].",
Chuong2-3-cau105,105. Thể bào nang của Giardia lamblia,Có từ 2 – 4 nhân,Có từ 1 – 2 nhân,Có 1 nhân,Có 5 nhân,,A,"Bào nang G. lamblia có từ 2–4 nhân [2, 33].",
Chuong2-3-cau106,106. Thể bào nang của Giardia lamblia,Dài khoảng 15 - 20µm,Dài khoảng 1 - 5µm,Dài khoảng 9 - 12µm,Dài khoảng 5 - 10µm,,C,"Bào nang G. lamblia dài khoảng 9-12 µm [2, 33].",
Chuong2-3-cau107,107. Giardia lamblia sống ở,Trong thành tá tràng và đôi khi trong ống mật,Sống trên bề mặt niêm mạc ruột,Sống ở âm đạo,Cả A và B,,D,G. lamblia sống trong tá tràng/ống mật (A) và trên bề mặt niêm mạc ruột (B) [34].,
Chuong2-3-cau108,108. Thể hoạt động của Giardia lamblia di động được nhờ,Chân giả,Bằng roi,Bằng lông tơ,"Cả A, B và C",,B,"G. lamblia là trùng roi, di động bằng roi [2, 34].",
Chuong2-3-cau109,109. Trùng roi Giardia lamblia gây bệnh,Bệnh phổi,Bệnh tiêu chảy,Bệnh kiết lỵ,Không gây bệnh,,B,G. lamblia gây bệnh tiêu chảy mạn tính (Giardiasis) [34].,
Chuong2-3-cau110,"110. Với Giardia lamblia, khi xét nghiệm phân người bệnh",Luôn luôn thấy bào nang,Có giai đoạn không thấy bào nang vì chúng được thảy ra ngoài từng đợt,Phải cấy phân mới thấy được KST này,Luôn luôn thấy thể hoạt động,,B,"Bào nang G. lamblia được thải ra từng đợt, có giai đoạn xét nghiệm không thấy bào nang [34, 35].",
Chuong2-3-cau111,"111. Khi nhiễm Giardia lamblia, phân người bệnh",Luôn luôn lỏng như nước,Nhầy và máu,"Nhão, sệt, màu xám nâu hay lợt",Tiêu chảy xen kẻ với táo bón,,C,"Phân nhão, sệt, màu xám nâu hay lợt là triệu chứng phổ biến [35, 36].",
Chuong2-3-cau112,112. Thể hoạt động của Giardia lamblia thường ít khi theo phân ra ngoài vì,Bị tiêu hủy khi qua ruột gìa,Có đĩa hút nên bám rất chắc vào màng ruột non,Nếu đi qua ruột già cũng hóa bào nang ở đó,Cả B và C,,D,G. lamblia ít ra ngoài vì bám chắc vào ruột non (B) và có thể hóa bào nang (C) [35].,
Chuong2-3-cau113,113. Bệnh do Giardia lamblia là bệnh phổ biến ở,Người lớn vì lao động nhiều,Trẻ em,Thanh niên vì không quan tâm đến vệ sinh,Người già vì sức khỏe kém,,B,"Bệnh G. lamblia phổ biến ở trẻ em [18, 35].",
Chuong2-3-cau114,114. Triệu chứng bệnh do Giardia lamblia phổ biến,Nhức đầu,"Rét, sốt, đổ mồ hôi","Ăn không tiêu, đau bụng, tiêu chảy",Ho nhiều,,C,"Triệu chứng G. lamblia phổ biến là ăn không tiêu, đau bụng, tiêu chảy [18].",
Chuong2-3-cau115,115. Trùng roi Giardia lamblia là một KST,Có tính chuyên biệt hẹp về ký chủ,Sống được ở nhiều ký chủ,Có ký chủ chính là chó,"Tất cả A, B và C",,B,G. lamblia có thể sống ở nhiều ký chủ (người và động vật có vú khác) [18].,
Chuong2-3-cau116,116. Phân của người mắc bệnh do Giardia lamblia màu xám và lẫn mỡ vì,Dịch tiêu háo trong ruột non làm đổi màu của phân,Người bệnh tiêu hóa kém,Chức năng của mật bị biến đổi,Chức năng của ruột bị biến đổi,,B,"Phân có mỡ và màu xám do G. lamblia cản trở hấp thu mỡ [18, 37].",
Chuong2-3-cau117,117. Đơn bào thường thấy ở trẻ em suy dinh dưỡng,Entamoeba coli,Balantidium coli,Giardia lamblia,Trichominas vaginalis,,C,"G. lamblia là nguyên nhân hàng đầu gây suy dinh dưỡng ở trẻ em [36, 37].",
Chuong2-3-cau118,118. Thể hoạt động của Giardia lamblia ít khi theo phân ra ngoài vì,Bị tiêu hủy khi qua ruột già,Có dĩa hút nên bám chắc vào màng ruột non,Nếu đi qua ruột già cũng hóa bào nang ở đó,Cả A và B,Cả B và C,E,Ít ra ngoài vì bám chắc vào ruột non (B) và có thể hóa bào nang (C) [37].,
Chuong2-3-cau119,"119. Khi nhiễm Giardia lamblia, phân người bệnh",Lỏng như nước,Nhầy như máu,"Nhảo, sệt, màu xám nâu hay lợt lạt",Tiêu chảy xen kẽ với bón,,C,"Phân nhão, sệt, màu xám nâu hay lợt lạt [36, 38].",
Chuong2-3-cau120,"120. Với Giardia lamblia, khi xét nghiệm phân người bệnh",Luôn luôn thấy bào nang,Có giai đoạn không thấy bào nang vì chúng được thải ra ngoài từng đợt,Phải cấy phân mới thấy được KST này,Cả A và B,,B,Bào nang G. lamblia thải ra từng đợt (chu kỳ) [38].,
Chuong2-3-cau121,121. Thực phẩm của Giardia lamblia là,Chất nhầy ở ruột,Hồng cầu,Vi khuẩn,Cặn bả trong ruột,,A,"Thực phẩm của G. lamblia là chất nhầy ở ruột [2, 38].",
Chuong2-3-cau122,122. Pentatrichomonas intestinalis là một KST,Luôn luôn gây bệnh kiết lỵ,"Không gây bệnh nặng, nhiễm nhiều KST thì tiêu chảy",Gây áp xe ở gan,Gây viêm túi mật,,B,"P. intestinalis thường là hội sinh, nhiễm nhiều có thể gây tiêu chảy [39, 40].",
Chuong2-3-cau123,123. Pentatrichomonas intestinalis sống ở,Trong các tuyến và mô ruột,Tá tràng,Trong long đại tràng,Môi trường pH axit,,C,"P. intestinalis ký sinh trong lòng đại tràng [39, 40].",
Chuong2-3-cau124,124. Pentatrichomonas intestinalis lây truyền từ người này qua người khác bằng dạng,Hoạt động,Bào nang,Hoạt động và bào nang,Tiền bào nang,,A,"P. intestinalis lây truyền bằng thể hoạt động [39, 40].",
Chuong2-3-cau125,125. Pentatrichomonas intestinalis không có thể bào nang,Nên khả năng lây lang khó,Nhưng vẫn lây lan được vì vách thể hoạt động tương đối dày,Nên khó sống được trong ruột già,Nên khó sống được trong ruột non,,A,"Vì không có bào nang nên khả năng lây lan khó [40, 41].",
Chuong2-3-cau126,126. Đối với Pentatrichomonas intestinalis thì,Khả năng lây lan khó,Lây lan được vì vách của đơn bào này tương đối dày,Phát triển tốt trong ruột non,Phát triển tốt trong tá tràng,,A,Khả năng lây lan khó vì không có bào nang [41].,
Chuong2-3-cau127,"127. Ăn rau sống không sạch, người có thể nhiễm các loại KST sau trừ.",Giun đũa,Lỵ amip,Trùng roi đường sinh dục,Trùng lông,,C,"Trùng roi đường sinh dục (T. vaginalis) lây qua đường tình dục [8, 41].",
Chuong2-3-cau128,128. Bạch cầu ái toan thường không tăng khi người nhiễm loại KST.,Giardia intestinalis,Ascaris lumbricoides,Ancylostoma duodenale,Toxocara canis,,A,"G. intestinalis là đơn bào, thường không gây tăng bạch cầu ái toan [41].",
Chuong2-3-cau129,129. Nguyên nhân làm hạn chế hấp thu chất dinh dưỡng ở ruột khi nhiễm Lamblia intestinalis là?,Do viêm ruột.,Do rối loạn nhu động ruột.,Do viêm ruột và do trùng roi che phủ niêm mạc.,Do trùng roi che phủ niêm mạc.,,D,G. lamblia gây kém hấp thu chủ yếu do che phủ niêm mạc ruột non [42].,
Chuong2-3-cau130,130. Suy dinh dưỡng ở trẻ nhiễm L.intestinalis là do nguyên nhân nào sau đây?,L.intestinalis sinh độc tố ức chế sự phát triển của trẻ.,L.intestinalis làm hạn chế hấp thu chất dinh dưỡng của ruột.,L.intestinalis chiếm đoạt chất dinh dưỡng của cơ thể trẻ.,L.intestinalis phá hủy các men tiêu hóa dẫn tới không tiêu hóa được thức ăn.,,B,G. lamblia gây hạn chế hấp thu chất dinh dưỡng [42].,
Chuong2-3-cau131,131. Trichomonas vaginalis gây bệnh ở đường sinh dục nữ thường đồng hành với?,Virus HPV.,Lậu cầu khuẩn.,Nấm Candida.,Giang mai.,,C,T. vaginalis thường đồng hành với nhiễm nấm Candida [43].,
Chuong2-3-cau132,132. Trichomonas vaginalis lây truyền từ người này sang người khác bằng con đường nào?,Tiếp xúc.,Quan hệ tình dục.,Truyền máu.,Qua đường tiêu hóa.,,B,"T. vaginalis lây truyền chủ yếu qua quan hệ tình dục [8, 43].",
Chuong2-3-cau133,"133. Ăn rau sống không sạch, người có thể nhiễm các loại KST sau trừ. TRÙNG ROI",Giun đũa.,Lỵ amip,Trùng roi đường sinh dục,Trùng lông,Giun tóc,C,"T. vaginalis lây qua đường tình dục [8, 44].",
